Barangay_No,Barangay,x,y,Year,Month,Dengue Cases
0,ABUNO,8.1846,124.2571,2013,10,0
0,ABUNO,8.1846,124.2571,2014,10,0
0,ABUNO,8.1846,124.2571,2015,10,1
0,ABUNO,8.1846,124.2571,2016,10,1
0,ABUNO,8.1846,124.2571,2017,10,0
0,ABUNO,8.1846,124.2571,2018,10,1
0,ABUNO,8.1846,124.2571,2019,10,4
0,ABUNO,8.1846,124.2571,2020,10,0
0,ABUNO,8.1846,124.2571,2021,10,0
0,ABUNO,8.1846,124.2571,2022,10,1
0,ABUNO,8.1846,124.2571,2011,11,0
0,ABUNO,8.1846,124.2571,2012,11,1
0,ABUNO,8.1846,124.2571,2013,11,1
0,ABUNO,8.1846,124.2571,2014,11,2
0,ABUNO,8.1846,124.2571,2015,11,1
0,ABUNO,8.1846,124.2571,2016,11,3
0,ABUNO,8.1846,124.2571,2017,11,0
0,ABUNO,8.1846,124.2571,2018,11,7
0,ABUNO,8.1846,124.2571,2019,11,9
0,ABUNO,8.1846,124.2571,2020,11,0
0,ABUNO,8.1846,124.2571,2021,11,1
0,ABUNO,8.1846,124.2571,2022,11,1
0,ABUNO,8.1846,124.2571,2011,12,0
0,ABUNO,8.1846,124.2571,2012,12,0
0,ABUNO,8.1846,124.2571,2013,12,0
0,ABUNO,8.1846,124.2571,2014,12,0
0,ABUNO,8.1846,124.2571,2015,12,0
0,ABUNO,8.1846,124.2571,2016,12,1
0,ABUNO,8.1846,124.2571,2017,12,0
0,ABUNO,8.1846,124.2571,2018,12,4
0,ABUNO,8.1846,124.2571,2019,12,0
0,ABUNO,8.1846,124.2571,2020,12,0
0,ABUNO,8.1846,124.2571,2021,12,0
0,ABUNO,8.1846,124.2571,2022,12,0
1,ACMAC,8.274,124.2649,2011,1,0
1,ACMAC,8.274,124.2649,2012,1,0
1,ACMAC,8.274,124.2649,2013,1,1
1,ACMAC,8.274,124.2649,2014,1,3
1,ACMAC,8.274,124.2649,2015,1,1
1,ACMAC,8.274,124.2649,2016,1,1
1,ACMAC,8.274,124.2649,2017,1,0
1,ACMAC,8.274,124.2649,2018,1,0
1,ACMAC,8.274,124.2649,2019,1,15
1,ACMAC,8.274,124.2649,2020,1,8
1,ACMAC,8.274,124.2649,2021,1,1
1,ACMAC,8.274,124.2649,2022,1,0
1,ACMAC,8.274,124.2649,2011,2,1
1,ACMAC,8.274,124.2649,2012,2,0
1,ACMAC,8.274,124.2649,2013,2,1
1,ACMAC,8.274,124.2649,2014,2,1
1,ACMAC,8.274,124.2649,2015,2,2
1,ACMAC,8.274,124.2649,2016,2,0
1,ACMAC,8.274,124.2649,2017,2,1
1,ACMAC,8.274,124.2649,2018,2,0
1,ACMAC,8.274,124.2649,2019,2,8
1,ACMAC,8.274,124.2649,2020,2,2
1,ACMAC,8.274,124.2649,2021,2,0
1,ACMAC,8.274,124.2649,2022,2,0
1,ACMAC,8.274,124.2649,2011,3,0
1,ACMAC,8.274,124.2649,2012,3,0
1,ACMAC,8.274,124.2649,2013,3,0
1,ACMAC,8.274,124.2649,2014,3,0
1,ACMAC,8.274,124.2649,2015,3,0
1,ACMAC,8.274,124.2649,2016,3,1
1,ACMAC,8.274,124.2649,2017,3,1
1,ACMAC,8.274,124.2649,2018,3,4
1,ACMAC,8.274,124.2649,2019,3,0
1,ACMAC,8.274,124.2649,2020,3,8
1,ACMAC,8.274,124.2649,2021,3,0
1,ACMAC,8.274,124.2649,2022,3,0
1,ACMAC,8.274,124.2649,2011,4,0
1,ACMAC,8.274,124.2649,2012,4,0
1,ACMAC,8.274,124.2649,2013,4,0
1,ACMAC,8.274,124.2649,2014,4,0
1,ACMAC,8.274,124.2649,2015,4,0
1,ACMAC,8.274,124.2649,2016,4,0
1,ACMAC,8.274,124.2649,2017,4,0
1,ACMAC,8.274,124.2649,2018,4,0
1,ACMAC,8.274,124.2649,2019,4,0
1,ACMAC,8.274,124.2649,2020,4,2
1,ACMAC,8.274,124.2649,2021,4,1
1,ACMAC,8.274,124.2649,2022,4,0
1,ACMAC,8.274,124.2649,2011,5,0
1,ACMAC,8.274,124.2649,2012,5,0
1,ACMAC,8.274,124.2649,2013,5,1
1,ACMAC,8.274,124.2649,2014,5,1
1,ACMAC,8.274,124.2649,2015,5,0
1,ACMAC,8.274,124.2649,2016,5,1
1,ACMAC,8.274,124.2649,2017,5,0
1,ACMAC,8.274,124.2649,2018,5,0
1,ACMAC,8.274,124.2649,2019,5,5
1,ACMAC,8.274,124.2649,2020,5,0
1,ACMAC,8.274,124.2649,2021,5,0
1,ACMAC,8.274,124.2649,2022,5,0
1,ACMAC,8.274,124.2649,2011,6,0
1,ACMAC,8.274,124.2649,2012,6,0
1,ACMAC,8.274,124.2649,2013,6,0
1,ACMAC,8.274,124.2649,2014,6,0
1,ACMAC,8.274,124.2649,2015,6,0
1,ACMAC,8.274,124.2649,2016,6,0
1,ACMAC,8.274,124.2649,2017,6,1
1,ACMAC,8.274,124.2649,2018,6,0
1,ACMAC,8.274,124.2649,2019,6,4
1,ACMAC,8.274,124.2649,2020,6,0
1,ACMAC,8.274,124.2649,2021,6,0
1,ACMAC,8.274,124.2649,2022,6,1
1,ACMAC,8.274,124.2649,2011,7,0
1,ACMAC,8.274,124.2649,2012,7,0
1,ACMAC,8.274,124.2649,2013,7,0
1,ACMAC,8.274,124.2649,2014,7,2
1,ACMAC,8.274,124.2649,2015,7,0
1,ACMAC,8.274,124.2649,2016,7,3
1,ACMAC,8.274,124.2649,2017,7,1
1,ACMAC,8.274,124.2649,2018,7,1
1,ACMAC,8.274,124.2649,2019,7,39
1,ACMAC,8.274,124.2649,2020,7,0
1,ACMAC,8.274,124.2649,2021,7,0
1,ACMAC,8.274,124.2649,2022,7,1
1,ACMAC,8.274,124.2649,2011,8,0
1,ACMAC,8.274,124.2649,2012,8,0
1,ACMAC,8.274,124.2649,2013,8,0
1,ACMAC,8.274,124.2649,2014,8,7
1,ACMAC,8.274,124.2649,2015,8,0
1,ACMAC,8.274,124.2649,2016,8,2
1,ACMAC,8.274,124.2649,2017,8,0
1,ACMAC,8.274,124.2649,2018,8,1
1,ACMAC,8.274,124.2649,2019,8,16
1,ACMAC,8.274,124.2649,2020,8,2
1,ACMAC,8.274,124.2649,2021,8,1
1,ACMAC,8.274,124.2649,2022,8,0
1,ACMAC,8.274,124.2649,2011,9,0
1,ACMAC,8.274,124.2649,2012,9,0
1,ACMAC,8.274,124.2649,2013,9,1
1,ACMAC,8.274,124.2649,2014,9,1
1,ACMAC,8.274,124.2649,2015,9,0
1,ACMAC,8.274,124.2649,2016,9,2
1,ACMAC,8.274,124.2649,2017,9,0
1,ACMAC,8.274,124.2649,2018,9,3
1,ACMAC,8.274,124.2649,2019,9,4
1,ACMAC,8.274,124.2649,2020,9,0
1,ACMAC,8.274,124.2649,2021,9,0
1,ACMAC,8.274,124.2649,2022,9,1
1,ACMAC,8.274,124.2649,2011,10,0
1,ACMAC,8.274,124.2649,2012,10,1
1,ACMAC,8.274,124.2649,2013,10,2
1,ACMAC,8.274,124.2649,2014,10,3
1,ACMAC,8.274,124.2649,2015,10,0
1,ACMAC,8.274,124.2649,2016,10,2
1,ACMAC,8.274,124.2649,2017,10,0
1,ACMAC,8.274,124.2649,2018,10,8
1,ACMAC,8.274,124.2649,2019,10,9
1,ACMAC,8.274,124.2649,2020,10,0
1,ACMAC,8.274,124.2649,2021,10,2
1,ACMAC,8.274,124.2649,2022,10,1
1,ACMAC,8.274,124.2649,2011,11,0
1,ACMAC,8.274,124.2649,2012,11,1
1,ACMAC,8.274,124.2649,2013,11,0
1,ACMAC,8.274,124.2649,2014,11,1
1,ACMAC,8.274,124.2649,2015,11,5
1,ACMAC,8.274,124.2649,2016,11,2
1,ACMAC,8.274,124.2649,2017,11,1
1,ACMAC,8.274,124.2649,2018,11,7
1,ACMAC,8.274,124.2649,2019,11,3
1,ACMAC,8.274,124.2649,2020,11,1
1,ACMAC,8.274,124.2649,2021,11,1
1,ACMAC,8.274,124.2649,2022,11,0
1,ACMAC,8.274,124.2649,2011,12,0
1,ACMAC,8.274,124.2649,2012,12,0
1,ACMAC,8.274,124.2649,2013,12,0
1,ACMAC,8.274,124.2649,2014,12,2
1,ACMAC,8.274,124.2649,2015,12,0
1,ACMAC,8.274,124.2649,2016,12,1
1,ACMAC,8.274,124.2649,2017,12,0
1,ACMAC,8.274,124.2649,2018,12,10
1,ACMAC,8.274,124.2649,2019,12,8
1,ACMAC,8.274,124.2649,2020,12,0
1,ACMAC,8.274,124.2649,2021,12,1
1,ACMAC,8.274,124.2649,2022,12,0
2,BAGONG SILANG,8.2418,124.252,2011,1,0
2,BAGONG SILANG,8.2418,124.252,2012,1,0
2,BAGONG SILANG,8.2418,124.252,2013,1,2
2,BAGONG SILANG,8.2418,124.252,2014,1,1
2,BAGONG SILANG,8.2418,124.252,2015,1,1
2,BAGONG SILANG,8.2418,124.252,2016,1,1
2,BAGONG SILANG,8.2418,124.252,2017,1,5
2,BAGONG SILANG,8.2418,124.252,2018,1,2
2,BAGONG SILANG,8.2418,124.252,2019,1,17
2,BAGONG SILANG,8.2418,124.252,2020,1,4
2,BAGONG SILANG,8.2418,124.252,2021,1,0
2,BAGONG SILANG,8.2418,124.252,2022,1,2
2,BAGONG SILANG,8.2418,124.252,2011,2,1
2,BAGONG SILANG,8.2418,124.252,2012,2,0
2,BAGONG SILANG,8.2418,124.252,2013,2,1
2,BAGONG SILANG,8.2418,124.252,2014,2,2
2,BAGONG SILANG,8.2418,124.252,2015,2,0
2,BAGONG SILANG,8.2418,124.252,2016,2,3
2,BAGONG SILANG,8.2418,124.252,2017,2,3
2,BAGONG SILANG,8.2418,124.252,2018,2,0
2,BAGONG SILANG,8.2418,124.252,2019,2,11
2,BAGONG SILANG,8.2418,124.252,2020,2,0
2,BAGONG SILANG,8.2418,124.252,2021,2,1
2,BAGONG SILANG,8.2418,124.252,2022,2,0
2,BAGONG SILANG,8.2418,124.252,2011,3,0
2,BAGONG SILANG,8.2418,124.252,2012,3,5
2,BAGONG SILANG,8.2418,124.252,2013,3,0
2,BAGONG SILANG,8.2418,124.252,2014,3,1
2,BAGONG SILANG,8.2418,124.252,2015,3,3
2,BAGONG SILANG,8.2418,124.252,2016,3,1
2,BAGONG SILANG,8.2418,124.252,2017,3,2
2,BAGONG SILANG,8.2418,124.252,2018,3,0
2,BAGONG SILANG,8.2418,124.252,2019,3,12
2,BAGONG SILANG,8.2418,124.252,2020,3,2
2,BAGONG SILANG,8.2418,124.252,2021,3,1
2,BAGONG SILANG,8.2418,124.252,2022,3,1
2,BAGONG SILANG,8.2418,124.252,2011,4,0
2,BAGONG SILANG,8.2418,124.252,2012,4,0
2,BAGONG SILANG,8.2418,124.252,2013,4,0
2,BAGONG SILANG,8.2418,124.252,2014,4,0
2,BAGONG SILANG,8.2418,124.252,2015,4,1
2,BAGONG SILANG,8.2418,124.252,2016,4,4
2,BAGONG SILANG,8.2418,124.252,2017,4,1
2,BAGONG SILANG,8.2418,124.252,2018,4,0
2,BAGONG SILANG,8.2418,124.252,2019,4,0
2,BAGONG SILANG,8.2418,124.252,2020,4,0
2,BAGONG SILANG,8.2418,124.252,2021,4,0
2,BAGONG SILANG,8.2418,124.252,2022,4,1
2,BAGONG SILANG,8.2418,124.252,2011,5,0
2,BAGONG SILANG,8.2418,124.252,2012,5,0
2,BAGONG SILANG,8.2418,124.252,2013,5,0
2,BAGONG SILANG,8.2418,124.252,2014,5,0
2,BAGONG SILANG,8.2418,124.252,2015,5,4
2,BAGONG SILANG,8.2418,124.252,2016,5,0
2,BAGONG SILANG,8.2418,124.252,2017,5,2
2,BAGONG SILANG,8.2418,124.252,2018,5,0
2,BAGONG SILANG,8.2418,124.252,2019,5,0
2,BAGONG SILANG,8.2418,124.252,2020,5,0
2,BAGONG SILANG,8.2418,124.252,2021,5,0
2,BAGONG SILANG,8.2418,124.252,2022,5,0
2,BAGONG SILANG,8.2418,124.252,2011,6,0
2,BAGONG SILANG,8.2418,124.252,2012,6,1
2,BAGONG SILANG,8.2418,124.252,2013,6,0
2,BAGONG SILANG,8.2418,124.252,2014,6,2
2,BAGONG SILANG,8.2418,124.252,2015,6,0
2,BAGONG SILANG,8.2418,124.252,2016,6,1
2,BAGONG SILANG,8.2418,124.252,2017,6,1
2,BAGONG SILANG,8.2418,124.252,2018,6,1
2,BAGONG SILANG,8.2418,124.252,2019,6,0
2,BAGONG SILANG,8.2418,124.252,2020,6,0
2,BAGONG SILANG,8.2418,124.252,2021,6,1
2,BAGONG SILANG,8.2418,124.252,2022,6,5
2,BAGONG SILANG,8.2418,124.252,2011,7,0
2,BAGONG SILANG,8.2418,124.252,2012,7,0
2,BAGONG SILANG,8.2418,124.252,2013,7,1
2,BAGONG SILANG,8.2418,124.252,2014,7,0
2,BAGONG SILANG,8.2418,124.252,2015,7,2
2,BAGONG SILANG,8.2418,124.252,2016,7,3
2,BAGONG SILANG,8.2418,124.252,2017,7,1
2,BAGONG SILANG,8.2418,124.252,2018,7,3
2,BAGONG SILANG,8.2418,124.252,2019,7,17
2,BAGONG SILANG,8.2418,124.252,2020,7,0
2,BAGONG SILANG,8.2418,124.252,2021,7,1
2,BAGONG SILANG,8.2418,124.252,2022,7,5
2,BAGONG SILANG,8.2418,124.252,2011,8,0
2,BAGONG SILANG,8.2418,124.252,2012,8,2
2,BAGONG SILANG,8.2418,124.252,2013,8,2
2,BAGONG SILANG,8.2418,124.252,2014,8,2
2,BAGONG SILANG,8.2418,124.252,2015,8,8
2,BAGONG SILANG,8.2418,124.252,2016,8,4
2,BAGONG SILANG,8.2418,124.252,2017,8,0
2,BAGONG SILANG,8.2418,124.252,2018,8,0
2,BAGONG SILANG,8.2418,124.252,2019,8,24
2,BAGONG SILANG,8.2418,124.252,2020,8,0
2,BAGONG SILANG,8.2418,124.252,2021,8,3
2,BAGONG SILANG,8.2418,124.252,2022,8,3
2,BAGONG SILANG,8.2418,124.252,2011,9,0
2,BAGONG SILANG,8.2418,124.252,2012,9,0
2,BAGONG SILANG,8.2418,124.252,2013,9,0
2,BAGONG SILANG,8.2418,124.252,2014,9,1
2,BAGONG SILANG,8.2418,124.252,2015,9,1
