Barangay,Month,Year,Dengue Cases
TIBANGA,8,2018,1
TIBANGA,9,2018,2
TIBANGA,10,2018,3
TIBANGA,11,2018,7
TIBANGA,12,2018,3
TIPANOY,3,2018,2
TIPANOY,5,2018,2
TIPANOY,6,2018,2
TIPANOY,7,2018,2
TIPANOY,8,2018,4
TIPANOY,9,2018,4
TIPANOY,10,2018,8
TIPANOY,11,2018,10
TIPANOY,12,2018,9
TOMINOBO  UPPER,3,2018,1
TOMINOBO  UPPER,6,2018,1
TOMINOBO  UPPER,7,2018,1
TOMINOBO  UPPER,8,2018,1
TOMINOBO  UPPER,10,2018,3
TOMINOBO  UPPER,11,2018,3
TOMINOBO  UPPER,12,2018,4
TOMINOBO PROPER,1,2018,1
TOMINOBO PROPER,2,2018,1
TOMINOBO PROPER,3,2018,1
TOMINOBO PROPER,7,2018,2
TOMINOBO PROPER,8,2018,5
TOMINOBO PROPER,9,2018,2
TOMINOBO PROPER,11,2018,2
TOMINOBO PROPER,12,2018,8
TUBOD,1,2018,9
TUBOD,2,2018,4
TUBOD,3,2018,4
TUBOD,4,2018,3
TUBOD,5,2018,5
TUBOD,6,2018,8
TUBOD,7,2018,16
TUBOD,8,2018,6
TUBOD,9,2018,11
TUBOD,10,2018,8
TUBOD,11,2018,13
TUBOD,12,2018,22
UBALDO LAYA,1,2018,1
UBALDO LAYA,3,2018,1
UBALDO LAYA,5,2018,1
UBALDO LAYA,8,2018,1
UBALDO LAYA,9,2018,6
UBALDO LAYA,11,2018,3
UBALDO LAYA,12,2018,4
UPPER HINAPLANON,9,2018,1
UPPER HINAPLANON,12,2018,2
VILLA VERDE,2,2018,1
VILLA VERDE,7,2018,3
VILLA VERDE,8,2018,2
VILLA VERDE,9,2018,1
VILLA VERDE,10,2018,2
VILLA VERDE,11,2018,3
VILLA VERDE,12,2018,7
