Barangay_No,Barangay,x,y,Year,Month,Dengue Cases,Temperature,Humidity,Rainfall
34,TIBANGA,8.2402,124.2415,2011,1,1,23.8,88.1,7.0
35,TIPANOY,8.1902,124.2634,2011,1,1,23.8,88.1,7.0
36,TOMINOBO PROPER,8.2104,124.2221,2011,1,0,23.8,88.1,7.0
37,TOMINOBO UPPER,8.1688,124.2251,2011,1,0,23.8,88.1,7.0
38,TUBOD,8.2117,124.2394,2011,1,0,23.8,88.1,7.0
39,UBALDO LAYA,8.224,124.2449,2011,1,2,23.8,88.1,7.0
40,UPPER HINAPLANON,8.2559,124.2689,2011,1,0,23.8,88.1,7.0
41,VILLA VERDE,8.2331,124.2437,2011,1,1,23.8,88.1,7.0
0,ABUNO,8.1846,124.2571,2011,2,0,20.1,86.9,7.8
1,ACMAC,8.274,124.2649,2011,2,1,20.1,86.9,7.8
2,BAGONG SILANG,8.2418,124.252,2011,2,1,20.1,86.9,7.8
3,BONBONON,8.2667,124.2902,2011,2,0,20.1,86.9,7.8
4,BUNAWAN,8.3023,124.3028,2011,2,0,20.1,86.9,7.8
5,BURU-UN,8.1872,124.1688,2011,2,1,20.1,86.9,7.8
6,DALIPUGA,8.3074,124.255,2011,2,0,20.1,86.9,7.8
7,DEL CARMEN,8.2322,124.2578,2011,2,0,20.1,86.9,7.8
8,DIGKILAAN,8.2492,124.3178,2011,2,1,20.1,86.9,7.8
9,DITUCALAN,8.1751,124.1927,2011,2,1,20.1,86.9,7.8
10,HINAPLANON,8.2467,124.2592,2011,2,0,20.1,86.9,7.8
11,HINDANG,8.3177,124.3457,2011,2,0,20.1,86.9,7.8
12,KABACSANAN,8.2815,124.3088,2011,2,0,20.1,86.9,7.8
13,KIWALAN,8.2801,124.2668,2011,2,0,20.1,86.9,7.8
14,LANIPAO,8.2266,124.3412,2011,2,0,20.1,86.9,7.8
15,LUINAB,8.2472,124.2681,2011,2,1,20.1,86.9,7.8
16,MAHAYAHAY,8.2219,124.2406,2011,2,0,20.1,86.9,7.8
17,MAINIT,8.2976,124.3876,2011,2,0,20.1,86.9,7.8
18,MANDULOG,8.2442,124.3057,2011,2,0,20.1,86.9,7.8
19,MARIA CRISTINA,8.1989,124.1936,2011,2,1,20.1,86.9,7.8
20,PALAO,8.2286,124.2532,2011,2,1,20.1,86.9,7.8
21,PANOROGANAN,8.1743,124.425,2011,2,0,20.1,86.9,7.8
22,POBLACION,8.2292,124.2344,2011,2,4,20.1,86.9,7.8
23,PUGA-AN,8.2122,124.2742,2011,2,0,20.1,86.9,7.8
24,ROGONGON,8.2395,124.4115,2011,2,0,20.1,86.9,7.8
25,SAN MIGUEL,8.2387,124.2479,2011,2,0,20.1,86.9,7.8
26,SAN ROQUE,8.2578,124.2619,2011,2,0,20.1,86.9,7.8
27,SANTA ELENA,8.1948,124.2273,2011,2,0,20.1,86.9,7.8
28,SANTA FILOMENA,8.2681,124.2593,2011,2,1,20.1,86.9,7.8
29,SANTIAGO,8.2511,124.2444,2011,2,1,20.1,86.9,7.8
30,SANTO ROSARIO,8.2436,124.2525,2011,2,1,20.1,86.9,7.8
31,SARAY-TIBANGA,8.2349,124.2371,2011,2,0,20.1,86.9,7.8
32,SUAREZ,8.1914,124.2173,2011,2,1,20.1,86.9,7.8
33,TAMBACAN,8.2236,124.2347,2011,2,3,20.1,86.9,7.8
34,TIBANGA,8.2402,124.2415,2011,2,2,20.1,86.9,7.8
35,TIPANOY,8.1902,124.2634,2011,2,1,20.1,86.9,7.8
36,TOMINOBO PROPER,8.2104,124.2221,2011,2,0,20.1,86.9,7.8
37,TOMINOBO UPPER,8.1688,124.2251,2011,2,1,20.1,86.9,7.8
38,TUBOD,8.2117,124.2394,2011,2,2,20.1,86.9,7.8
39,UBALDO LAYA,8.224,124.2449,2011,2,1,20.1,86.9,7.8
40,UPPER HINAPLANON,8.2559,124.2689,2011,2,0,20.1,86.9,7.8
41,VILLA VERDE,8.2331,124.2437,2011,2,1,20.1,86.9,7.8
0,ABUNO,8.1846,124.2571,2011,3,1,20.3,86.8,6.2
1,ACMAC,8.274,124.2649,2011,3,0,20.3,86.8,6.2
2,BAGONG SILANG,8.2418,124.252,2011,3,0,20.3,86.8,6.2
3,BONBONON,8.2667,124.2902,2011,3,0,20.3,86.8,6.2
4,BUNAWAN,8.3023,124.3028,2011,3,0,20.3,86.8,6.2
5,BURU-UN,8.1872,124.1688,2011,3,0,20.3,86.8,6.2
6,DALIPUGA,8.3074,124.255,2011,3,0,20.3,86.8,6.2
7,DEL CARMEN,8.2322,124.2578,2011,3,0,20.3,86.8,6.2
8,DIGKILAAN,8.2492,124.3178,2011,3,1,20.3,86.8,6.2
9,DITUCALAN,8.1751,124.1927,2011,3,0,20.3,86.8,6.2
10,HINAPLANON,8.2467,124.2592,2011,3,0,20.3,86.8,6.2
11,HINDANG,8.3177,124.3457,2011,3,0,20.3,86.8,6.2
12,KABACSANAN,8.2815,124.3088,2011,3,0,20.3,86.8,6.2
13,KIWALAN,8.2801,124.2668,2011,3,0,20.3,86.8,6.2
14,LANIPAO,8.2266,124.3412,2011,3,0,20.3,86.8,6.2
15,LUINAB,8.2472,124.2681,2011,3,0,20.3,86.8,6.2
16,MAHAYAHAY,8.2219,124.2406,2011,3,2,20.3,86.8,6.2
17,MAINIT,8.2976,124.3876,2011,3,0,20.3,86.8,6.2
18,MANDULOG,8.2442,124.3057,2011,3,0,20.3,86.8,6.2
19,MARIA CRISTINA,8.1989,124.1936,2011,3,0,20.3,86.8,6.2
20,PALAO,8.2286,124.2532,2011,3,0,20.3,86.8,6.2
21,PANOROGANAN,8.1743,124.425,2011,3,0,20.3,86.8,6.2
22,POBLACION,8.2292,124.2344,2011,3,1,20.3,86.8,6.2
23,PUGA-AN,8.2122,124.2742,2011,3,0,20.3,86.8,6.2
24,ROGONGON,8.2395,124.4115,2011,3,0,20.3,86.8,6.2
25,SAN MIGUEL,8.2387,124.2479,2011,3,0,20.3,86.8,6.2
26,SAN ROQUE,8.2578,124.2619,2011,3,0,20.3,86.8,6.2
27,SANTA ELENA,8.1948,124.2273,2011,3,0,20.3,86.8,6.2
28,SANTA FILOMENA,8.2681,124.2593,2011,3,0,20.3,86.8,6.2
29,SANTIAGO,8.2511,124.2444,2011,3,2,20.3,86.8,6.2
30,SANTO ROSARIO,8.2436,124.2525,2011,3,2,20.3,86.8,6.2
31,SARAY-TIBANGA,8.2349,124.2371,2011,3,0,20.3,86.8,6.2
32,SUAREZ,8.1914,124.2173,2011,3,1,20.3,86.8,6.2
33,TAMBACAN,8.2236,124.2347,2011,3,2,20.3,86.8,6.2
34,TIBANGA,8.2402,124.2415,2011,3,2,20.3,86.8,6.2
35,TIPANOY,8.1902,124.2634,2011,3,0,20.3,86.8,6.2
36,TOMINOBO PROPER,8.2104,124.2221,2011,3,0,20.3,86.8,6.2
37,TOMINOBO UPPER,8.1688,124.2251,2011,3,0,20.3,86.8,6.2
38,TUBOD,8.2117,124.2394,2011,3,2,20.3,86.8,6.2
39,UBALDO LAYA,8.224,124.2449,2011,3,3,20.3,86.8,6.2
40,UPPER HINAPLANON,8.2559,124.2689,2011,3,0,20.3,86.8,6.2
41,VILLA VERDE,8.2331,124.2437,2011,3,0,20.3,86.8,6.2
0,ABUNO,8.1846,124.2571,2011,4,0,21.0,83.3,2.5
1,ACMAC,8.274,124.2649,2011,4,0,21.0,83.3,2.5
2,BAGONG SILANG,8.2418,124.252,2011,4,0,21.0,83.3,2.5
3,BONBONON,8.2667,124.2902,2011,4,0,21.0,83.3,2.5
4,BUNAWAN,8.3023,124.3028,2011,4,0,21.0,83.3,2.5
5,BURU-UN,8.1872,124.1688,2011,4,1,21.0,83.3,2.5
6,DALIPUGA,8.3074,124.255,2011,4,0,21.0,83.3,2.5
7,DEL CARMEN,8.2322,124.2578,2011,4,1,21.0,83.3,2.5
8,DIGKILAAN,8.2492,124.3178,2011,4,0,21.0,83.3,2.5
9,DITUCALAN,8.1751,124.1927,2011,4,0,21.0,83.3,2.5
10,HINAPLANON,8.2467,124.2592,2011,4,0,21.0,83.3,2.5
11,HINDANG,8.3177,124.3457,2011,4,0,21.0,83.3,2.5
12,KABACSANAN,8.2815,124.3088,2011,4,0,21.0,83.3,2.5
13,KIWALAN,8.2801,124.2668,2011,4,0,21.0,83.3,2.5
14,LANIPAO,8.2266,124.3412,2011,4,0,21.0,83.3,2.5
15,LUINAB,8.2472,124.2681,2011,4,0,21.0,83.3,2.5
16,MAHAYAHAY,8.2219,124.2406,2011,4,0,21.0,83.3,2.5
17,MAINIT,8.2976,124.3876,2011,4,0,21.0,83.3,2.5
18,MANDULOG,8.2442,124.3057,2011,4,0,21.0,83.3,2.5
19,MARIA CRISTINA,8.1989,124.1936,2011,4,0,21.0,83.3,2.5
20,PALAO,8.2286,124.2532,2011,4,2,21.0,83.3,2.5
21,PANOROGANAN,8.1743,124.425,2011,4,0,21.0,83.3,2.5
22,POBLACION,8.2292,124.2344,2011,4,0,21.0,83.3,2.5
23,PUGA-AN,8.2122,124.2742,2011,4,0,21.0,83.3,2.5
24,ROGONGON,8.2395,124.4115,2011,4,0,21.0,83.3,2.5
25,SAN MIGUEL,8.2387,124.2479,2011,4,0,21.0,83.3,2.5
26,SAN ROQUE,8.2578,124.2619,2011,4,0,21.0,83.3,2.5
27,SANTA ELENA,8.1948,124.2273,2011,4,0,21.0,83.3,2.5
28,SANTA FILOMENA,8.2681,124.2593,2011,4,0,21.0,83.3,2.5
29,SANTIAGO,8.2511,124.2444,2011,4,0,21.0,83.3,2.5
30,SANTO ROSARIO,8.2436,124.2525,2011,4,0,21.0,83.3,2.5
31,SARAY-TIBANGA,8.2349,124.2371,2011,4,1,21.0,83.3,2.5
32,SUAREZ,8.1914,124.2173,2011,4,0,21.0,83.3,2.5
33,TAMBACAN,8.2236,124.2347,2011,4,1,21.0,83.3,2.5
34,TIBANGA,8.2402,124.2415,2011,4,0,21.0,83.3,2.5
35,TIPANOY,8.1902,124.2634,2011,4,0,21.0,83.3,2.5
36,TOMINOBO PROPER,8.2104,124.2221,2011,4,0,21.0,83.3,2.5
37,TOMINOBO UPPER,8.1688,124.2251,2011,4,0,21.0,83.3,2.5
38,TUBOD,8.2117,124.2394,2011,4,1,21.0,83.3,2.5
39,UBALDO LAYA,8.224,124.2449,2011,4,0,21.0,83.3,2.5
40,UPPER HINAPLANON,8.2559,124.2689,2011,4,0,21.0,83.3,2.5
41,VILLA VERDE,8.2331,124.2437,2011,4,0,21.0,83.3,2.5
0,ABUNO,8.1846,124.2571,2011,5,0,21.5,86.4,8.0
1,ACMAC,8.274,124.2649,2011,5,0,21.5,86.4,8.0
2,BAGONG SILANG,8.2418,124.252,2011,5,0,21.5,86.4,8.0
3,BONBONON,8.2667,124.2902,2011,5,0,21.5,86.4,8.0
4,BUNAWAN,8.3023,124.3028,2011,5,0,21.5,86.4,8.0
5,BURU-UN,8.1872,124.1688,2011,5,0,21.5,86.4,8.0
6,DALIPUGA,8.3074,124.255,2011,5,0,21.5,86.4,8.0
7,DEL CARMEN,8.2322,124.2578,2011,5,0,21.5,86.4,8.0
8,DIGKILAAN,8.2492,124.3178,2011,5,0,21.5,86.4,8.0
9,DITUCALAN,8.1751,124.1927,2011,5,0,21.5,86.4,8.0
10,HINAPLANON,8.2467,124.2592,2011,5,0,21.5,86.4,8.0
11,HINDANG,8.3177,124.3457,2011,5,0,21.5,86.4,8.0
12,KABACSANAN,8.2815,124.3088,2011,5,0,21.5,86.4,8.0
13,KIWALAN,8.2801,124.2668,2011,5,0,21.5,86.4,8.0
14,LANIPAO,8.2266,124.3412,2011,5,0,21.5,86.4,8.0
15,LUINAB,8.2472,124.2681,2011,5,0,21.5,86.4,8.0
16,MAHAYAHAY,8.2219,124.2406,2011,5,0,21.5,86.4,8.0
17,MAINIT,8.2976,124.3876,2011,5,0,21.5,86.4,8.0
18,MANDULOG,8.2442,124.3057,2011,5,0,21.5,86.4,8.0
19,MARIA CRISTINA,8.1989,124.1936,2011,5,0,21.5,86.4,8.0
20,PALAO,8.2286,124.2532,2011,5,0,21.5,86.4,8.0
21,PANOROGANAN,8.1743,124.425,2011,5,0,21.5,86.4,8.0
22,POBLACION,8.2292,124.2344,2011,5,2,21.5,86.4,8.0
23,PUGA-AN,8.2122,124.2742,2011,5,0,21.5,86.4,8.0
24,ROGONGON,8.2395,124.4115,2011,5,0,21.5,86.4,8.0
25,SAN MIGUEL,8.2387,124.2479,2011,5,0,21.5,86.4,8.0
26,SAN ROQUE,8.2578,124.2619,2011,5,0,21.5,86.4,8.0
27,SANTA ELENA,8.1948,124.2273,2011,5,0,21.5,86.4,8.0
28,SANTA FILOMENA,8.2681,124.2593,2011,5,0,21.5,86.4,8.0
29,SANTIAGO,8.2511,124.2444,2011,5,1,21.5,86.4,8.0
30,SANTO ROSARIO,8.2436,124.2525,2011,5,0,21.5,86.4,8.0
31,SARAY-TIBANGA,8.2349,124.2371,2011,5,0,21.5,86.4,8.0
32,SUAREZ,8.1914,124.2173,2011,5,1,21.5,86.4,8.0
33,TAMBACAN,8.2236,124.2347,2011,5,0,21.5,86.4,8.0
34,TIBANGA,8.2402,124.2415,2011,5,0,21.5,86.4,8.0
35,TIPANOY,8.1902,124.2634,2011,5,0,21.5,86.4,8.0
36,TOMINOBO PROPER,8.2104,124.2221,2011,5,0,21.5,86.4,8.0
37,TOMINOBO UPPER,8.1688,124.2251,2011,5,0,21.5,86.4,8.0
38,TUBOD,8.2117,124.2394,2011,5,3,21.5,86.4,8.0
39,UBALDO LAYA,8.224,124.2449,2011,5,2,21.5,86.4,8.0
40,UPPER HINAPLANON,8.2559,124.2689,2011,5,0,21.5,86.4,8.0
41,VILLA VERDE,8.2331,124.2437,2011,5,0,21.5,86.4,8.0
0,ABUNO,8.1846,124.2571,2011,6,0,21.2,87.7,11.6
1,ACMAC,8.274,124.2649,2011,6,0,21.2,87.7,11.6
2,BAGONG SILANG,8.2418,124.252,2011,6,0,21.2,87.7,11.6
3,BONBONON,8.2667,124.2902,2011,6,0,21.2,87.7,11.6
4,BUNAWAN,8.3023,124.3028,2011,6,0,21.2,87.7,11.6
5,BURU-UN,8.1872,124.1688,2011,6,0,21.2,87.7,11.6
6,DALIPUGA,8.3074,124.255,2011,6,0,21.2,87.7,11.6
7,DEL CARMEN,8.2322,124.2578,2011,6,1,21.2,87.7,11.6
8,DIGKILAAN,8.2492,124.3178,2011,6,0,21.2,87.7,11.6
9,DITUCALAN,8.1751,124.1927,2011,6,0,21.2,87.7,11.6
10,HINAPLANON,8.2467,124.2592,2011,6,0,21.2,87.7,11.6
11,HINDANG,8.3177,124.3457,2011,6,0,21.2,87.7,11.6
12,KABACSANAN,8.2815,124.3088,2011,6,1,21.2,87.7,11.6
13,KIWALAN,8.2801,124.2668,2011,6,0,21.2,87.7,11.6
14,LANIPAO,8.2266,124.3412,2011,6,0,21.2,87.7,11.6
15,LUINAB,8.2472,124.2681,2011,6,0,21.2,87.7,11.6
16,MAHAYAHAY,8.2219,124.2406,2011,6,0,21.2,87.7,11.6
17,MAINIT,8.2976,124.3876,2011,6,0,21.2,87.7,11.6
18,MANDULOG,8.2442,124.3057,2011,6,0,21.2,87.7,11.6
19,MARIA CRISTINA,8.1989,124.1936,2011,6,0,21.2,87.7,11.6
20,PALAO,8.2286,124.2532,2011,6,0,21.2,87.7,11.6
21,PANOROGANAN,8.1743,124.425,2011,6,0,21.2,87.7,11.6
22,POBLACION,8.2292,124.2344,2011,6,0,21.2,87.7,11.6
23,PUGA-AN,8.2122,124.2742,2011,6,0,21.2,87.7,11.6
24,ROGONGON,8.2395,124.4115,2011,6,0,21.2,87.7,11.6
25,SAN MIGUEL,8.2387,124.2479,2011,6,0,21.2,87.7,11.6
26,SAN ROQUE,8.2578,124.2619,2011,6,0,21.2,87.7,11.6
27,SANTA ELENA,8.1948,124.2273,2011,6,0,21.2,87.7,11.6
28,SANTA FILOMENA,8.2681,124.2593,2011,6,0,21.2,87.7,11.6
29,SANTIAGO,8.2511,124.2444,2011,6,0,21.2,87.7,11.6
30,SANTO ROSARIO,8.2436,124.2525,2011,6,0,21.2,87.7,11.6
31,SARAY-TIBANGA,8.2349,124.2371,2011,6,0,21.2,87.7,11.6
32,SUAREZ,8.1914,124.2173,2011,6,0,21.2,87.7,11.6
33,TAMBACAN,8.2236,124.2347,2011,6,2,21.2,87.7,11.6
34,TIBANGA,8.2402,124.2415,2011,6,0,21.2,87.7,11.6
35,TIPANOY,8.1902,124.2634,2011,6,0,21.2,87.7,11.6
36,TOMINOBO PROPER,8.2104,124.2221,2011,6,0,21.2,87.7,11.6
37,TOMINOBO UPPER,8.1688,124.2251,2011,6,0,21.2,87.7,11.6
38,TUBOD,8.2117,124.2394,2011,6,1,21.2,87.7,11.6
39,UBALDO LAYA,8.224,124.2449,2011,6,0,21.2,87.7,11.6
40,UPPER HINAPLANON,8.2559,124.2689,2011,6,0,21.2,87.7,11.6
41,VILLA VERDE,8.2331,124.2437,2011,6,0,21.2,87.7,11.6
0,ABUNO,8.1846,124.2571,2011,7,0,20.7,88.0,9.8
1,ACMAC,8.274,124.2649,2011,7,0,20.7,88.0,9.8
2,BAGONG SILANG,8.2418,124.252,2011,7,0,20.7,88.0,9.8
3,BONBONON,8.2667,124.2902,2011,7,0,20.7,88.0,9.8
4,BUNAWAN,8.3023,124.3028,2011,7,0,20.7,88.0,9.8
5,BURU-UN,8.1872,124.1688,2011,7,1,20.7,88.0,9.8
6,DALIPUGA,8.3074,124.255,2011,7,2,20.7,88.0,9.8
7,DEL CARMEN,8.2322,124.2578,2011,7,0,20.7,88.0,9.8
8,DIGKILAAN,8.2492,124.3178,2011,7,0,20.7,88.0,9.8
9,DITUCALAN,8.1751,124.1927,2011,7,0,20.7,88.0,9.8
10,HINAPLANON,8.2467,124.2592,2011,7,1,20.7,88.0,9.8
11,HINDANG,8.3177,124.3457,2011,7,0,20.7,88.0,9.8
12,KABACSANAN,8.2815,124.3088,2011,7,0,20.7,88.0,9.8
13,KIWALAN,8.2801,124.2668,2011,7,0,20.7,88.0,9.8
14,LANIPAO,8.2266,124.3412,2011,7,0,20.7,88.0,9.8
15,LUINAB,8.2472,124.2681,2011,7,0,20.7,88.0,9.8
16,MAHAYAHAY,8.2219,124.2406,2011,7,1,20.7,88.0,9.8
17,MAINIT,8.2976,124.3876,2011,7,0,20.7,88.0,9.8
18,MANDULOG,8.2442,124.3057,2011,7,0,20.7,88.0,9.8
19,MARIA CRISTINA,8.1989,124.1936,2011,7,0,20.7,88.0,9.8
20,PALAO,8.2286,124.2532,2011,7,0,20.7,88.0,9.8
21,PANOROGANAN,8.1743,124.425,2011,7,0,20.7,88.0,9.8
22,POBLACION,8.2292,124.2344,2011,7,3,20.7,88.0,9.8
23,PUGA-AN,8.2122,124.2742,2011,7,0,20.7,88.0,9.8
24,ROGONGON,8.2395,124.4115,2011,7,0,20.7,88.0,9.8
25,SAN MIGUEL,8.2387,124.2479,2011,7,1,20.7,88.0,9.8
26,SAN ROQUE,8.2578,124.2619,2011,7,0,20.7,88.0,9.8
27,SANTA ELENA,8.1948,124.2273,2011,7,0,20.7,88.0,9.8
28,SANTA FILOMENA,8.2681,124.2593,2011,7,0,20.7,88.0,9.8
29,SANTIAGO,8.2511,124.2444,2011,7,0,20.7,88.0,9.8
30,SANTO ROSARIO,8.2436,124.2525,2011,7,0,20.7,88.0,9.8
31,SARAY-TIBANGA,8.2349,124.2371,2011,7,0,20.7,88.0,9.8
32,SUAREZ,8.1914,124.2173,2011,7,1,20.7,88.0,9.8
33,TAMBACAN,8.2236,124.2347,2011,7,1,20.7,88.0,9.8
34,TIBANGA,8.2402,124.2415,2011,7,0,20.7,88.0,9.8
35,TIPANOY,8.1902,124.2634,2011,7,0,20.7,88.0,9.8
36,TOMINOBO PROPER,8.2104,124.2221,2011,7,0,20.7,88.0,9.8
37,TOMINOBO UPPER,8.1688,124.2251,2011,7,0,20.7,88.0,9.8
38,TUBOD,8.2117,124.2394,2011,7,1,20.7,88.0,9.8
39,UBALDO LAYA,8.224,124.2449,2011,7,1,20.7,88.0,9.8
40,UPPER HINAPLANON,8.2559,124.2689,2011,7,0,20.7,88.0,9.8
41,VILLA VERDE,8.2331,124.2437,2011,7,0,20.7,88.0,9.8
0,ABUNO,8.1846,124.2571,2011,8,1,21.0,87.9,9.3
1,ACMAC,8.274,124.2649,2011,8,0,21.0,87.9,9.3
2,BAGONG SILANG,8.2418,124.252,2011,8,0,21.0,87.9,9.3
3,BONBONON,8.2667,124.2902,2011,8,0,21.0,87.9,9.3
4,BUNAWAN,8.3023,124.3028,2011,8,0,21.0,87.9,9.3
5,BURU-UN,8.1872,124.1688,2011,8,2,21.0,87.9,9.3
6,DALIPUGA,8.3074,124.255,2011,8,0,21.0,87.9,9.3
7,DEL CARMEN,8.2322,124.2578,2011,8,0,21.0,87.9,9.3
8,DIGKILAAN,8.2492,124.3178,2011,8,0,21.0,87.9,9.3
9,DITUCALAN,8.1751,124.1927,2011,8,0,21.0,87.9,9.3
10,HINAPLANON,8.2467,124.2592,2011,8,0,21.0,87.9,9.3
11,HINDANG,8.3177,124.3457,2011,8,0,21.0,87.9,9.3
12,KABACSANAN,8.2815,124.3088,2011,8,0,21.0,87.9,9.3
13,KIWALAN,8.2801,124.2668,2011,8,0,21.0,87.9,9.3
14,LANIPAO,8.2266,124.3412,2011,8,0,21.0,87.9,9.3
15,LUINAB,8.2472,124.2681,2011,8,0,21.0,87.9,9.3
16,MAHAYAHAY,8.2219,124.2406,2011,8,1,21.0,87.9,9.3
17,MAINIT,8.2976,124.3876,2011,8,0,21.0,87.9,9.3
18,MANDULOG,8.2442,124.3057,2011,8,0,21.0,87.9,9.3
19,MARIA CRISTINA,8.1989,124.1936,2011,8,0,21.0,87.9,9.3
20,PALAO,8.2286,124.2532,2011,8,0,21.0,87.9,9.3
21,PANOROGANAN,8.1743,124.425,2011,8,0,21.0,87.9,9.3
22,POBLACION,8.2292,124.2344,2011,8,2,21.0,87.9,9.3
23,PUGA-AN,8.2122,124.2742,2011,8,1,21.0,87.9,9.3
24,ROGONGON,8.2395,124.4115,2011,8,0,21.0,87.9,9.3
25,SAN MIGUEL,8.2387,124.2479,2011,8,0,21.0,87.9,9.3
26,SAN ROQUE,8.2578,124.2619,2011,8,0,21.0,87.9,9.3
27,SANTA ELENA,8.1948,124.2273,2011,8,1,21.0,87.9,9.3
28,SANTA FILOMENA,8.2681,124.2593,2011,8,0,21.0,87.9,9.3
29,SANTIAGO,8.2511,124.2444,2011,8,2,21.0,87.9,9.3
30,SANTO ROSARIO,8.2436,124.2525,2011,8,0,21.0,87.9,9.3
31,SARAY-TIBANGA,8.2349,124.2371,2011,8,0,21.0,87.9,9.3
32,SUAREZ,8.1914,124.2173,2011,8,0,21.0,87.9,9.3
33,TAMBACAN,8.2236,124.2347,2011,8,2,21.0,87.9,9.3
34,TIBANGA,8.2402,124.2415,2011,8,1,21.0,87.9,9.3
35,TIPANOY,8.1902,124.2634,2011,8,0,21.0,87.9,9.3
36,TOMINOBO PROPER,8.2104,124.2221,2011,8,0,21.0,87.9,9.3
37,TOMINOBO UPPER,8.1688,124.2251,2011,8,0,21.0,87.9,9.3
38,TUBOD,8.2117,124.2394,2011,8,2,21.0,87.9,9.3
39,UBALDO LAYA,8.224,124.2449,2011,8,1,21.0,87.9,9.3
40,UPPER HINAPLANON,8.2559,124.2689,2011,8,0,21.0,87.9,9.3
41,VILLA VERDE,8.2331,124.2437,2011,8,1,21.0,87.9,9.3
0,ABUNO,8.1846,124.2571,2011,9,1,21.1,87.3,7.6
1,ACMAC,8.274,124.2649,2011,9,0,21.1,87.3,7.6
2,BAGONG SILANG,8.2418,124.252,2011,9,0,21.1,87.3,7.6
3,BONBONON,8.2667,124.2902,2011,9,1,21.1,87.3,7.6
4,BUNAWAN,8.3023,124.3028,2011,9,0,21.1,87.3,7.6
5,BURU-UN,8.1872,124.1688,2011,9,0,21.1,87.3,7.6
6,DALIPUGA,8.3074,124.255,2011,9,0,21.1,87.3,7.6
7,DEL CARMEN,8.2322,124.2578,2011,9,0,21.1,87.3,7.6
8,DIGKILAAN,8.2492,124.3178,2011,9,0,21.1,87.3,7.6
9,DITUCALAN,8.1751,124.1927,2011,9,1,21.1,87.3,7.6
10,HINAPLANON,8.2467,124.2592,2011,9,0,21.1,87.3,7.6
11,HINDANG,8.3177,124.3457,2011,9,0,21.1,87.3,7.6
12,KABACSANAN,8.2815,124.3088,2011,9,0,21.1,87.3,7.6
13,KIWALAN,8.2801,124.2668,2011,9,0,21.1,87.3,7.6
14,LANIPAO,8.2266,124.3412,2011,9,0,21.1,87.3,7.6
15,LUINAB,8.2472,124.2681,2011,9,0,21.1,87.3,7.6
16,MAHAYAHAY,8.2219,124.2406,2011,9,0,21.1,87.3,7.6
17,MAINIT,8.2976,124.3876,2011,9,0,21.1,87.3,7.6
18,MANDULOG,8.2442,124.3057,2011,9,0,21.1,87.3,7.6
