Barangay_No,Barangay,Month,Year,x,y,Dengue Cases
27,SAN MIGUEL,3,2010,8.2387,124.2479,0.0
27,SAN ROQUE,3,2010,8.2578,124.2619,0.0
28,SAN ROQUE,3,2010,8.2578,124.2619,0.0
28,SANTA ELENA,3,2010,8.1948,124.2273,0.0
29,SANTA ELENA,3,2010,8.1948,124.2273,0.0
29,SANTA FILOMENA,3,2010,8.2681,124.2593,0.0
30,SANTA FILOMENA,3,2010,8.2681,124.2593,0.0
30,SANTIAGO,3,2010,8.2511,124.2444,0.0
31,SANTIAGO,3,2010,8.2511,124.2444,0.0
31,SANTO ROSARIO,3,2010,8.2436,124.2525,0.0
32,SANTO ROSARIO,3,2010,8.2436,124.2525,0.0
32,SARAY-TIBANGA,3,2010,8.2436,124.2525,0.0
33,SARAY-TIBANGA,3,2010,8.2436,124.2525,0.0
33,SUAREZ,3,2010,8.1914,124.2173,0.0
34,SUAREZ,3,2010,8.1914,124.2173,0.0
34,TAMBACAN,3,2010,8.2236,124.2347,0.0
35,TAMBACAN,3,2010,8.2236,124.2347,0.0
35,TIBANGA,3,2010,8.2402,124.241,0.0
36,TIBANGA,3,2010,8.2402,124.241,0.0
36,TIPANOY,3,2010,8.1902,124.2634,0.0
37,TIPANOY,3,2010,8.1902,124.2634,0.0
37,TOMINOBO PROPER,3,2010,8.2104,124.2221,0.0
38,TOMINOBO PROPER,3,2010,8.2104,124.2221,0.0
38,TOMINOBO UPPER,3,2010,8.1688,124.2251,0.0
39,TOMINOBO UPPER,3,2010,8.1688,124.2251,0.0
39,TUBOD,3,2010,8.2117,124.241,0.0
40,TUBOD,3,2010,8.2117,124.241,0.0
40,UBALDO LAYA,3,2010,8.224,124.2449,0.0
41,UBALDO LAYA,3,2010,8.224,124.2449,0.0
41,UPPER HINAPLANON,3,2010,8.2559,124.2689,0.0
42,UPPER HINAPLANON,3,2010,8.2559,124.2689,0.0
42,VILLA VERDE,3,2010,8.2331,124.2437,0.0
43,VILLA VERDE,3,2010,8.2331,124.2437,0.0
0,ABUNO,4,2010,8.1846,124.2571,0.0
1,ACMAC,4,2010,8.274,124.2649,0.0
2,BAGONG SILANG,4,2010,8.2418,124.252,0.0
3,BONBONON,4,2010,8.2667,124.2902,0.0
4,BUNAWAN,4,2010,8.3023,124.3028,0.0
5,BURU-UN,4,2010,8.1872,124.1688,0.0
6,DALIPUGA,4,2010,8.3074,124.255,0.0
7,DEL CARMEN,4,2010,8.2322,124.2578,0.0
8,DIGKILAAN,4,2010,8.2492,124.3178,0.0
9,DITUCALAN,4,2010,8.1751,124.1927,0.0
10,DULAG,4,2010,8.204,124.3694,0.0
11,HINAPLANON,4,2010,8.2467,124.2592,0.0
12,HINDANG,4,2010,8.3177,124.3457,0.0
13,KABACSANAN,4,2010,8.2815,124.3088,0.0
14,KALILANGAN,4,2010,8.1747,124.3863,0.0
14,KIWALAN,4,2010,8.2801,124.2668,0.0
15,KIWALAN,4,2010,8.2801,124.2668,0.0
15,LANIPAO,4,2010,8.2266,124.3412,0.0
16,LANIPAO,4,2010,8.2266,124.3412,0.0
16,LUINAB,4,2010,8.2472,124.2681,0.0
17,LUINAB,4,2010,8.2472,124.2681,0.0
17,MAHAYAHAY,4,2010,8.2219,124.2406,0.0
18,MAHAYAHAY,4,2010,8.2219,124.2406,0.0
18,MAINIT,4,2010,8.2976,124.3876,0.0
19,MAINIT,4,2010,8.2976,124.3876,0.0
19,MANDULOG,4,2010,8.2442,124.3057,0.0
20,MANDULOG,4,2010,8.2442,124.3057,0.0
20,MARIA CRISTINA,4,2010,8.1989,124.1936,0.0
21,MARIA CRISTINA,4,2010,8.1989,124.1936,0.0
21,PALAO,4,2010,8.2286,124.2532,0.0
22,PALAO,4,2010,8.2286,124.2532,0.0
22,PANOROGANAN,4,2010,8.1743,124.425,0.0
23,PANOROGANAN,4,2010,8.1743,124.425,0.0
23,POBLACION,4,2010,8.2285,124.2344,0.0
24,POBLACION,4,2010,8.2285,124.2344,0.0
24,PUGA-AN,4,2010,8.2285,124.2742,0.0
25,PUGA-AN,4,2010,8.2285,124.2742,0.0
25,ROGONGON,4,2010,8.2395,124.4115,0.0
26,ROGONGON,4,2010,8.2395,124.4115,0.0
26,SAN MIGUEL,4,2010,8.2387,124.2479,0.0
27,SAN MIGUEL,4,2010,8.2387,124.2479,0.0
27,SAN ROQUE,4,2010,8.2578,124.2619,0.0
28,SAN ROQUE,4,2010,8.2578,124.2619,0.0
28,SANTA ELENA,4,2010,8.1948,124.2273,0.0
29,SANTA ELENA,4,2010,8.1948,124.2273,0.0
29,SANTA FILOMENA,4,2010,8.2681,124.2593,0.0
30,SANTA FILOMENA,4,2010,8.2681,124.2593,0.0
30,SANTIAGO,4,2010,8.2511,124.2444,0.0
31,SANTIAGO,4,2010,8.2511,124.2444,0.0
31,SANTO ROSARIO,4,2010,8.2436,124.2525,0.0
32,SANTO ROSARIO,4,2010,8.2436,124.2525,0.0
32,SARAY-TIBANGA,4,2010,8.2436,124.2525,0.0
33,SARAY-TIBANGA,4,2010,8.2436,124.2525,0.0
33,SUAREZ,4,2010,8.1914,124.2173,0.0
34,SUAREZ,4,2010,8.1914,124.2173,0.0
34,TAMBACAN,4,2010,8.2236,124.2347,0.0
35,TAMBACAN,4,2010,8.2236,124.2347,0.0
35,TIBANGA,4,2010,8.2402,124.241,0.0
36,TIBANGA,4,2010,8.2402,124.241,0.0
36,TIPANOY,4,2010,8.1902,124.2634,0.0
37,TIPANOY,4,2010,8.1902,124.2634,0.0
37,TOMINOBO PROPER,4,2010,8.2104,124.2221,0.0
38,TOMINOBO PROPER,4,2010,8.2104,124.2221,0.0
38,TOMINOBO UPPER,4,2010,8.1688,124.2251,0.0
39,TOMINOBO UPPER,4,2010,8.1688,124.2251,0.0
39,TUBOD,4,2010,8.2117,124.241,0.0
40,TUBOD,4,2010,8.2117,124.241,0.0
40,UBALDO LAYA,4,2010,8.224,124.2449,0.0
41,UBALDO LAYA,4,2010,8.224,124.2449,0.0
41,UPPER HINAPLANON,4,2010,8.2559,124.2689,0.0
42,UPPER HINAPLANON,4,2010,8.2559,124.2689,0.0
42,VILLA VERDE,4,2010,8.2331,124.2437,0.0
43,VILLA VERDE,4,2010,8.2331,124.2437,0.0
0,ABUNO,5,2010,8.1846,124.2571,0.0
1,ACMAC,5,2010,8.274,124.2649,0.0
2,BAGONG SILANG,5,2010,8.2418,124.252,0.0
3,BONBONON,5,2010,8.2667,124.2902,0.0
4,BUNAWAN,5,2010,8.3023,124.3028,0.0
5,BURU-UN,5,2010,8.1872,124.1688,0.0
6,DALIPUGA,5,2010,8.3074,124.255,0.0
7,DEL CARMEN,5,2010,8.2322,124.2578,0.0
8,DIGKILAAN,5,2010,8.2492,124.3178,0.0
9,DITUCALAN,5,2010,8.1751,124.1927,0.0
10,DULAG,5,2010,8.204,124.3694,0.0
11,HINAPLANON,5,2010,8.2467,124.2592,0.0
12,HINDANG,5,2010,8.3177,124.3457,0.0
13,KABACSANAN,5,2010,8.2815,124.3088,0.0
14,KALILANGAN,5,2010,8.1747,124.3863,0.0
14,KIWALAN,5,2010,8.2801,124.2668,0.0
15,KIWALAN,5,2010,8.2801,124.2668,0.0
15,LANIPAO,5,2010,8.2266,124.3412,0.0
16,LANIPAO,5,2010,8.2266,124.3412,0.0
16,LUINAB,5,2010,8.2472,124.2681,0.0
17,LUINAB,5,2010,8.2472,124.2681,0.0
17,MAHAYAHAY,5,2010,8.2219,124.2406,0.0
18,MAHAYAHAY,5,2010,8.2219,124.2406,0.0
18,MAINIT,5,2010,8.2976,124.3876,0.0
19,MAINIT,5,2010,8.2976,124.3876,0.0
19,MANDULOG,5,2010,8.2442,124.3057,0.0
20,MANDULOG,5,2010,8.2442,124.3057,0.0
20,MARIA CRISTINA,5,2010,8.1989,124.1936,0.0
21,MARIA CRISTINA,5,2010,8.1989,124.1936,0.0
21,PALAO,5,2010,8.2286,124.2532,0.0
22,PALAO,5,2010,8.2286,124.2532,0.0
22,PANOROGANAN,5,2010,8.1743,124.425,0.0
23,PANOROGANAN,5,2010,8.1743,124.425,0.0
23,POBLACION,5,2010,8.2285,124.2344,0.0
24,POBLACION,5,2010,8.2285,124.2344,0.0
24,PUGA-AN,5,2010,8.2285,124.2742,0.0
25,PUGA-AN,5,2010,8.2285,124.2742,0.0
25,ROGONGON,5,2010,8.2395,124.4115,0.0
26,ROGONGON,5,2010,8.2395,124.4115,0.0
26,SAN MIGUEL,5,2010,8.2387,124.2479,0.0
27,SAN MIGUEL,5,2010,8.2387,124.2479,0.0
27,SAN ROQUE,5,2010,8.2578,124.2619,0.0
28,SAN ROQUE,5,2010,8.2578,124.2619,0.0
28,SANTA ELENA,5,2010,8.1948,124.2273,0.0
29,SANTA ELENA,5,2010,8.1948,124.2273,0.0
29,SANTA FILOMENA,5,2010,8.2681,124.2593,0.0
30,SANTA FILOMENA,5,2010,8.2681,124.2593,0.0
30,SANTIAGO,5,2010,8.2511,124.2444,0.0
31,SANTIAGO,5,2010,8.2511,124.2444,0.0
31,SANTO ROSARIO,5,2010,8.2436,124.2525,0.0
32,SANTO ROSARIO,5,2010,8.2436,124.2525,0.0
32,SARAY-TIBANGA,5,2010,8.2436,124.2525,0.0
33,SARAY-TIBANGA,5,2010,8.2436,124.2525,0.0
33,SUAREZ,5,2010,8.1914,124.2173,0.0
34,SUAREZ,5,2010,8.1914,124.2173,0.0
34,TAMBACAN,5,2010,8.2236,124.2347,0.0
35,TAMBACAN,5,2010,8.2236,124.2347,0.0
35,TIBANGA,5,2010,8.2402,124.241,0.0
36,TIBANGA,5,2010,8.2402,124.241,0.0
36,TIPANOY,5,2010,8.1902,124.2634,0.0
37,TIPANOY,5,2010,8.1902,124.2634,0.0
37,TOMINOBO PROPER,5,2010,8.2104,124.2221,0.0
38,TOMINOBO PROPER,5,2010,8.2104,124.2221,0.0
38,TOMINOBO UPPER,5,2010,8.1688,124.2251,0.0
39,TOMINOBO UPPER,5,2010,8.1688,124.2251,0.0
39,TUBOD,5,2010,8.2117,124.241,0.0
40,TUBOD,5,2010,8.2117,124.241,0.0
40,UBALDO LAYA,5,2010,8.224,124.2449,0.0
41,UBALDO LAYA,5,2010,8.224,124.2449,0.0
41,UPPER HINAPLANON,5,2010,8.2559,124.2689,0.0
42,UPPER HINAPLANON,5,2010,8.2559,124.2689,0.0
42,VILLA VERDE,5,2010,8.2331,124.2437,0.0
43,VILLA VERDE,5,2010,8.2331,124.2437,0.0
0,ABUNO,6,2010,8.1846,124.2571,0.0
1,ACMAC,6,2010,8.274,124.2649,0.0
2,BAGONG SILANG,6,2010,8.2418,124.252,0.0
3,BONBONON,6,2010,8.2667,124.2902,0.0
4,BUNAWAN,6,2010,8.3023,124.3028,0.0
5,BURU-UN,6,2010,8.1872,124.1688,0.0
6,DALIPUGA,6,2010,8.3074,124.255,0.0
7,DEL CARMEN,6,2010,8.2322,124.2578,0.0
8,DIGKILAAN,6,2010,8.2492,124.3178,0.0
9,DITUCALAN,6,2010,8.1751,124.1927,0.0
10,DULAG,6,2010,8.204,124.3694,0.0
11,HINAPLANON,6,2010,8.2467,124.2592,0.0
12,HINDANG,6,2010,8.3177,124.3457,0.0
13,KABACSANAN,6,2010,8.2815,124.3088,0.0
14,KALILANGAN,6,2010,8.1747,124.3863,0.0
14,KIWALAN,6,2010,8.2801,124.2668,0.0
15,KIWALAN,6,2010,8.2801,124.2668,0.0
15,LANIPAO,6,2010,8.2266,124.3412,0.0
16,LANIPAO,6,2010,8.2266,124.3412,0.0
16,LUINAB,6,2010,8.2472,124.2681,0.0
17,LUINAB,6,2010,8.2472,124.2681,0.0
17,MAHAYAHAY,6,2010,8.2219,124.2406,0.0
18,MAHAYAHAY,6,2010,8.2219,124.2406,0.0
18,MAINIT,6,2010,8.2976,124.3876,0.0
19,MAINIT,6,2010,8.2976,124.3876,0.0
19,MANDULOG,6,2010,8.2442,124.3057,0.0
20,MANDULOG,6,2010,8.2442,124.3057,0.0
20,MARIA CRISTINA,6,2010,8.1989,124.1936,0.0
21,MARIA CRISTINA,6,2010,8.1989,124.1936,0.0
21,PALAO,6,2010,8.2286,124.2532,0.0
22,PALAO,6,2010,8.2286,124.2532,0.0
22,PANOROGANAN,6,2010,8.1743,124.425,0.0
23,PANOROGANAN,6,2010,8.1743,124.425,0.0
23,POBLACION,6,2010,8.2285,124.2344,0.0
24,POBLACION,6,2010,8.2285,124.2344,0.0
24,PUGA-AN,6,2010,8.2285,124.2742,0.0
25,PUGA-AN,6,2010,8.2285,124.2742,0.0
25,ROGONGON,6,2010,8.2395,124.4115,0.0
26,ROGONGON,6,2010,8.2395,124.4115,0.0
26,SAN MIGUEL,6,2010,8.2387,124.2479,0.0
27,SAN MIGUEL,6,2010,8.2387,124.2479,0.0
27,SAN ROQUE,6,2010,8.2578,124.2619,0.0
28,SAN ROQUE,6,2010,8.2578,124.2619,0.0
28,SANTA ELENA,6,2010,8.1948,124.2273,0.0
29,SANTA ELENA,6,2010,8.1948,124.2273,0.0
29,SANTA FILOMENA,6,2010,8.2681,124.2593,0.0
30,SANTA FILOMENA,6,2010,8.2681,124.2593,0.0
30,SANTIAGO,6,2010,8.2511,124.2444,0.0
31,SANTIAGO,6,2010,8.2511,124.2444,0.0
31,SANTO ROSARIO,6,2010,8.2436,124.2525,0.0
32,SANTO ROSARIO,6,2010,8.2436,124.2525,0.0
32,SARAY-TIBANGA,6,2010,8.2436,124.2525,0.0
33,SARAY-TIBANGA,6,2010,8.2436,124.2525,0.0
33,SUAREZ,6,2010,8.1914,124.2173,0.0
34,SUAREZ,6,2010,8.1914,124.2173,0.0
34,TAMBACAN,6,2010,8.2236,124.2347,0.0
35,TAMBACAN,6,2010,8.2236,124.2347,0.0
35,TIBANGA,6,2010,8.2402,124.241,0.0
36,TIBANGA,6,2010,8.2402,124.241,0.0
36,TIPANOY,6,2010,8.1902,124.2634,0.0
37,TIPANOY,6,2010,8.1902,124.2634,0.0
37,TOMINOBO PROPER,6,2010,8.2104,124.2221,0.0
38,TOMINOBO PROPER,6,2010,8.2104,124.2221,0.0
38,TOMINOBO UPPER,6,2010,8.1688,124.2251,0.0
39,TOMINOBO UPPER,6,2010,8.1688,124.2251,0.0
39,TUBOD,6,2010,8.2117,124.241,0.0
40,TUBOD,6,2010,8.2117,124.241,0.0
40,UBALDO LAYA,6,2010,8.224,124.2449,0.0
41,UBALDO LAYA,6,2010,8.224,124.2449,0.0
41,UPPER HINAPLANON,6,2010,8.2559,124.2689,0.0
42,UPPER HINAPLANON,6,2010,8.2559,124.2689,0.0
