Barangay_No,Barangay,x,y,Year,Month,Dengue Cases
33,TAMBACAN,8.2236,124.2347,2011,3,2
34,TIBANGA,8.2402,124.2415,2011,3,2
35,TIPANOY,8.1902,124.2634,2011,3,0
36,TOMINOBO PROPER,8.2104,124.2221,2011,3,0
37,TOMINOBO UPPER,8.1688,124.2251,2011,3,0
38,TUBOD,8.2117,124.2394,2011,3,2
39,UBALDO LAYA,8.224,124.2449,2011,3,3
40,UPPER HINAPLANON,8.2559,124.2689,2011,3,0
41,VILLA VERDE,8.2331,124.2437,2011,3,0
0,ABUNO,8.1846,124.2571,2011,4,0
1,ACMAC,8.274,124.2649,2011,4,0
2,BAGONG SILANG,8.2418,124.252,2011,4,0
3,BONBONON,8.2667,124.2902,2011,4,0
4,BUNAWAN,8.3023,124.3028,2011,4,0
5,BURU-UN,8.1872,124.1688,2011,4,1
6,DALIPUGA,8.3074,124.255,2011,4,0
7,DEL CARMEN,8.2322,124.2578,2011,4,1
8,DIGKILAAN,8.2492,124.3178,2011,4,0
9,DITUCALAN,8.1751,124.1927,2011,4,0
10,HINAPLANON,8.2467,124.2592,2011,4,0
11,HINDANG,8.3177,124.3457,2011,4,0
12,KABACSANAN,8.2815,124.3088,2011,4,0
13,KIWALAN,8.2801,124.2668,2011,4,0
14,LANIPAO,8.2266,124.3412,2011,4,0
15,LUINAB,8.2472,124.2681,2011,4,0
16,MAHAYAHAY,8.2219,124.2406,2011,4,0
17,MAINIT,8.2976,124.3876,2011,4,0
18,MANDULOG,8.2442,124.3057,2011,4,0
19,MARIA CRISTINA,8.1989,124.1936,2011,4,0
20,PALAO,8.2286,124.2532,2011,4,2
21,PANOROGANAN,8.1743,124.425,2011,4,0
22,POBLACION,8.2292,124.2344,2011,4,0
23,PUGA-AN,8.2122,124.2742,2011,4,0
24,ROGONGON,8.2395,124.4115,2011,4,0
25,SAN MIGUEL,8.2387,124.2479,2011,4,0
26,SAN ROQUE,8.2578,124.2619,2011,4,0
27,SANTA ELENA,8.1948,124.2273,2011,4,0
28,SANTA FILOMENA,8.2681,124.2593,2011,4,0
29,SANTIAGO,8.2511,124.2444,2011,4,0
30,SANTO ROSARIO,8.2436,124.2525,2011,4,0
31,SARAY-TIBANGA,8.2349,124.2371,2011,4,1
32,SUAREZ,8.1914,124.2173,2011,4,0
33,TAMBACAN,8.2236,124.2347,2011,4,1
34,TIBANGA,8.2402,124.2415,2011,4,0
35,TIPANOY,8.1902,124.2634,2011,4,0
36,TOMINOBO PROPER,8.2104,124.2221,2011,4,0
37,TOMINOBO UPPER,8.1688,124.2251,2011,4,0
38,TUBOD,8.2117,124.2394,2011,4,1
39,UBALDO LAYA,8.224,124.2449,2011,4,0
40,UPPER HINAPLANON,8.2559,124.2689,2011,4,0
41,VILLA VERDE,8.2331,124.2437,2011,4,0
0,ABUNO,8.1846,124.2571,2011,5,0
1,ACMAC,8.274,124.2649,2011,5,0
2,BAGONG SILANG,8.2418,124.252,2011,5,0
3,BONBONON,8.2667,124.2902,2011,5,0
4,BUNAWAN,8.3023,124.3028,2011,5,0
5,BURU-UN,8.1872,124.1688,2011,5,0
6,DALIPUGA,8.3074,124.255,2011,5,0
7,DEL CARMEN,8.2322,124.2578,2011,5,0
8,DIGKILAAN,8.2492,124.3178,2011,5,0
9,DITUCALAN,8.1751,124.1927,2011,5,0
10,HINAPLANON,8.2467,124.2592,2011,5,0
11,HINDANG,8.3177,124.3457,2011,5,0
12,KABACSANAN,8.2815,124.3088,2011,5,0
13,KIWALAN,8.2801,124.2668,2011,5,0
14,LANIPAO,8.2266,124.3412,2011,5,0
15,LUINAB,8.2472,124.2681,2011,5,0
16,MAHAYAHAY,8.2219,124.2406,2011,5,0
17,MAINIT,8.2976,124.3876,2011,5,0
18,MANDULOG,8.2442,124.3057,2011,5,0
19,MARIA CRISTINA,8.1989,124.1936,2011,5,0
20,PALAO,8.2286,124.2532,2011,5,0
21,PANOROGANAN,8.1743,124.425,2011,5,0
22,POBLACION,8.2292,124.2344,2011,5,2
23,PUGA-AN,8.2122,124.2742,2011,5,0
24,ROGONGON,8.2395,124.4115,2011,5,0
25,SAN MIGUEL,8.2387,124.2479,2011,5,0
26,SAN ROQUE,8.2578,124.2619,2011,5,0
27,SANTA ELENA,8.1948,124.2273,2011,5,0
28,SANTA FILOMENA,8.2681,124.2593,2011,5,0
29,SANTIAGO,8.2511,124.2444,2011,5,1
30,SANTO ROSARIO,8.2436,124.2525,2011,5,0
31,SARAY-TIBANGA,8.2349,124.2371,2011,5,0
32,SUAREZ,8.1914,124.2173,2011,5,1
33,TAMBACAN,8.2236,124.2347,2011,5,0
34,TIBANGA,8.2402,124.2415,2011,5,0
35,TIPANOY,8.1902,124.2634,2011,5,0
36,TOMINOBO PROPER,8.2104,124.2221,2011,5,0
37,TOMINOBO UPPER,8.1688,124.2251,2011,5,0
38,TUBOD,8.2117,124.2394,2011,5,3
39,UBALDO LAYA,8.224,124.2449,2011,5,2
40,UPPER HINAPLANON,8.2559,124.2689,2011,5,0
41,VILLA VERDE,8.2331,124.2437,2011,5,0
0,ABUNO,8.1846,124.2571,2011,6,0
1,ACMAC,8.274,124.2649,2011,6,0
2,BAGONG SILANG,8.2418,124.252,2011,6,0
3,BONBONON,8.2667,124.2902,2011,6,0
4,BUNAWAN,8.3023,124.3028,2011,6,0
5,BURU-UN,8.1872,124.1688,2011,6,0
6,DALIPUGA,8.3074,124.255,2011,6,0
7,DEL CARMEN,8.2322,124.2578,2011,6,1
8,DIGKILAAN,8.2492,124.3178,2011,6,0
9,DITUCALAN,8.1751,124.1927,2011,6,0
10,HINAPLANON,8.2467,124.2592,2011,6,0
11,HINDANG,8.3177,124.3457,2011,6,0
12,KABACSANAN,8.2815,124.3088,2011,6,1
13,KIWALAN,8.2801,124.2668,2011,6,0
14,LANIPAO,8.2266,124.3412,2011,6,0
15,LUINAB,8.2472,124.2681,2011,6,0
16,MAHAYAHAY,8.2219,124.2406,2011,6,0
17,MAINIT,8.2976,124.3876,2011,6,0
18,MANDULOG,8.2442,124.3057,2011,6,0
19,MARIA CRISTINA,8.1989,124.1936,2011,6,0
20,PALAO,8.2286,124.2532,2011,6,0
21,PANOROGANAN,8.1743,124.425,2011,6,0
22,POBLACION,8.2292,124.2344,2011,6,0
23,PUGA-AN,8.2122,124.2742,2011,6,0
24,ROGONGON,8.2395,124.4115,2011,6,0
25,SAN MIGUEL,8.2387,124.2479,2011,6,0
26,SAN ROQUE,8.2578,124.2619,2011,6,0
27,SANTA ELENA,8.1948,124.2273,2011,6,0
28,SANTA FILOMENA,8.2681,124.2593,2011,6,0
29,SANTIAGO,8.2511,124.2444,2011,6,0
30,SANTO ROSARIO,8.2436,124.2525,2011,6,0
31,SARAY-TIBANGA,8.2349,124.2371,2011,6,0
32,SUAREZ,8.1914,124.2173,2011,6,0
33,TAMBACAN,8.2236,124.2347,2011,6,2
34,TIBANGA,8.2402,124.2415,2011,6,0
35,TIPANOY,8.1902,124.2634,2011,6,0
36,TOMINOBO PROPER,8.2104,124.2221,2011,6,0
37,TOMINOBO UPPER,8.1688,124.2251,2011,6,0
38,TUBOD,8.2117,124.2394,2011,6,1
39,UBALDO LAYA,8.224,124.2449,2011,6,0
40,UPPER HINAPLANON,8.2559,124.2689,2011,6,0
41,VILLA VERDE,8.2331,124.2437,2011,6,0
0,ABUNO,8.1846,124.2571,2011,7,0
1,ACMAC,8.274,124.2649,2011,7,0
2,BAGONG SILANG,8.2418,124.252,2011,7,0
3,BONBONON,8.2667,124.2902,2011,7,0
4,BUNAWAN,8.3023,124.3028,2011,7,0
5,BURU-UN,8.1872,124.1688,2011,7,1
6,DALIPUGA,8.3074,124.255,2011,7,2
7,DEL CARMEN,8.2322,124.2578,2011,7,0
8,DIGKILAAN,8.2492,124.3178,2011,7,0
9,DITUCALAN,8.1751,124.1927,2011,7,0
10,HINAPLANON,8.2467,124.2592,2011,7,1
11,HINDANG,8.3177,124.3457,2011,7,0
12,KABACSANAN,8.2815,124.3088,2011,7,0
13,KIWALAN,8.2801,124.2668,2011,7,0
14,LANIPAO,8.2266,124.3412,2011,7,0
15,LUINAB,8.2472,124.2681,2011,7,0
16,MAHAYAHAY,8.2219,124.2406,2011,7,1
17,MAINIT,8.2976,124.3876,2011,7,0
18,MANDULOG,8.2442,124.3057,2011,7,0
19,MARIA CRISTINA,8.1989,124.1936,2011,7,0
20,PALAO,8.2286,124.2532,2011,7,0
21,PANOROGANAN,8.1743,124.425,2011,7,0
22,POBLACION,8.2292,124.2344,2011,7,3
23,PUGA-AN,8.2122,124.2742,2011,7,0
24,ROGONGON,8.2395,124.4115,2011,7,0
25,SAN MIGUEL,8.2387,124.2479,2011,7,1
26,SAN ROQUE,8.2578,124.2619,2011,7,0
27,SANTA ELENA,8.1948,124.2273,2011,7,0
28,SANTA FILOMENA,8.2681,124.2593,2011,7,0
29,SANTIAGO,8.2511,124.2444,2011,7,0
30,SANTO ROSARIO,8.2436,124.2525,2011,7,0
31,SARAY-TIBANGA,8.2349,124.2371,2011,7,0
32,SUAREZ,8.1914,124.2173,2011,7,1
33,TAMBACAN,8.2236,124.2347,2011,7,1
34,TIBANGA,8.2402,124.2415,2011,7,0
35,TIPANOY,8.1902,124.2634,2011,7,0
36,TOMINOBO PROPER,8.2104,124.2221,2011,7,0
37,TOMINOBO UPPER,8.1688,124.2251,2011,7,0
38,TUBOD,8.2117,124.2394,2011,7,1
39,UBALDO LAYA,8.224,124.2449,2011,7,1
40,UPPER HINAPLANON,8.2559,124.2689,2011,7,0
41,VILLA VERDE,8.2331,124.2437,2011,7,0
0,ABUNO,8.1846,124.2571,2011,8,1
1,ACMAC,8.274,124.2649,2011,8,0
2,BAGONG SILANG,8.2418,124.252,2011,8,0
3,BONBONON,8.2667,124.2902,2011,8,0
4,BUNAWAN,8.3023,124.3028,2011,8,0
5,BURU-UN,8.1872,124.1688,2011,8,2
6,DALIPUGA,8.3074,124.255,2011,8,0
7,DEL CARMEN,8.2322,124.2578,2011,8,0
8,DIGKILAAN,8.2492,124.3178,2011,8,0
9,DITUCALAN,8.1751,124.1927,2011,8,0
10,HINAPLANON,8.2467,124.2592,2011,8,0
11,HINDANG,8.3177,124.3457,2011,8,0
12,KABACSANAN,8.2815,124.3088,2011,8,0
13,KIWALAN,8.2801,124.2668,2011,8,0
14,LANIPAO,8.2266,124.3412,2011,8,0
15,LUINAB,8.2472,124.2681,2011,8,0
16,MAHAYAHAY,8.2219,124.2406,2011,8,1
17,MAINIT,8.2976,124.3876,2011,8,0
18,MANDULOG,8.2442,124.3057,2011,8,0
19,MARIA CRISTINA,8.1989,124.1936,2011,8,0
20,PALAO,8.2286,124.2532,2011,8,0
21,PANOROGANAN,8.1743,124.425,2011,8,0
22,POBLACION,8.2292,124.2344,2011,8,2
23,PUGA-AN,8.2122,124.2742,2011,8,1
24,ROGONGON,8.2395,124.4115,2011,8,0
25,SAN MIGUEL,8.2387,124.2479,2011,8,0
26,SAN ROQUE,8.2578,124.2619,2011,8,0
27,SANTA ELENA,8.1948,124.2273,2011,8,1
28,SANTA FILOMENA,8.2681,124.2593,2011,8,0
29,SANTIAGO,8.2511,124.2444,2011,8,2
30,SANTO ROSARIO,8.2436,124.2525,2011,8,0
31,SARAY-TIBANGA,8.2349,124.2371,2011,8,0
32,SUAREZ,8.1914,124.2173,2011,8,0
33,TAMBACAN,8.2236,124.2347,2011,8,2
34,TIBANGA,8.2402,124.2415,2011,8,1
35,TIPANOY,8.1902,124.2634,2011,8,0
36,TOMINOBO PROPER,8.2104,124.2221,2011,8,0
37,TOMINOBO UPPER,8.1688,124.2251,2011,8,0
38,TUBOD,8.2117,124.2394,2011,8,2
39,UBALDO LAYA,8.224,124.2449,2011,8,1
40,UPPER HINAPLANON,8.2559,124.2689,2011,8,0
41,VILLA VERDE,8.2331,124.2437,2011,8,1
0,ABUNO,8.1846,124.2571,2011,9,1
1,ACMAC,8.274,124.2649,2011,9,0
2,BAGONG SILANG,8.2418,124.252,2011,9,0
3,BONBONON,8.2667,124.2902,2011,9,1
4,BUNAWAN,8.3023,124.3028,2011,9,0
5,BURU-UN,8.1872,124.1688,2011,9,0
6,DALIPUGA,8.3074,124.255,2011,9,0
7,DEL CARMEN,8.2322,124.2578,2011,9,0
8,DIGKILAAN,8.2492,124.3178,2011,9,0
9,DITUCALAN,8.1751,124.1927,2011,9,1
10,HINAPLANON,8.2467,124.2592,2011,9,0
11,HINDANG,8.3177,124.3457,2011,9,0
12,KABACSANAN,8.2815,124.3088,2011,9,0
13,KIWALAN,8.2801,124.2668,2011,9,0
14,LANIPAO,8.2266,124.3412,2011,9,0
15,LUINAB,8.2472,124.2681,2011,9,0
16,MAHAYAHAY,8.2219,124.2406,2011,9,0
17,MAINIT,8.2976,124.3876,2011,9,0
18,MANDULOG,8.2442,124.3057,2011,9,0
19,MARIA CRISTINA,8.1989,124.1936,2011,9,0
20,PALAO,8.2286,124.2532,2011,9,0
21,PANOROGANAN,8.1743,124.425,2011,9,0
22,POBLACION,8.2292,124.2344,2011,9,1
23,PUGA-AN,8.2122,124.2742,2011,9,0
24,ROGONGON,8.2395,124.4115,2011,9,0
25,SAN MIGUEL,8.2387,124.2479,2011,9,0
26,SAN ROQUE,8.2578,124.2619,2011,9,1
27,SANTA ELENA,8.1948,124.2273,2011,9,0
28,SANTA FILOMENA,8.2681,124.2593,2011,9,0
29,SANTIAGO,8.2511,124.2444,2011,9,0
30,SANTO ROSARIO,8.2436,124.2525,2011,9,0
31,SARAY-TIBANGA,8.2349,124.2371,2011,9,0
32,SUAREZ,8.1914,124.2173,2011,9,0
33,TAMBACAN,8.2236,124.2347,2011,9,1
34,TIBANGA,8.2402,124.2415,2011,9,0
35,TIPANOY,8.1902,124.2634,2011,9,0
36,TOMINOBO PROPER,8.2104,124.2221,2011,9,0
37,TOMINOBO UPPER,8.1688,124.2251,2011,9,0
38,TUBOD,8.2117,124.2394,2011,9,0
39,UBALDO LAYA,8.224,124.2449,2011,9,0
40,UPPER HINAPLANON,8.2559,124.2689,2011,9,0
41,VILLA VERDE,8.2331,124.2437,2011,9,0
0,ABUNO,8.1846,124.2571,2011,10,0
1,ACMAC,8.274,124.2649,2011,10,0
2,BAGONG SILANG,8.2418,124.252,2011,10,0
3,BONBONON,8.2667,124.2902,2011,10,0
4,BUNAWAN,8.3023,124.3028,2011,10,0
5,BURU-UN,8.1872,124.1688,2011,10,0
6,DALIPUGA,8.3074,124.255,2011,10,1
7,DEL CARMEN,8.2322,124.2578,2011,10,0
8,DIGKILAAN,8.2492,124.3178,2011,10,0
9,DITUCALAN,8.1751,124.1927,2011,10,0
10,HINAPLANON,8.2467,124.2592,2011,10,0
11,HINDANG,8.3177,124.3457,2011,10,1
12,KABACSANAN,8.2815,124.3088,2011,10,0
13,KIWALAN,8.2801,124.2668,2011,10,0
14,LANIPAO,8.2266,124.3412,2011,10,0
15,LUINAB,8.2472,124.2681,2011,10,0
16,MAHAYAHAY,8.2219,124.2406,2011,10,0
17,MAINIT,8.2976,124.3876,2011,10,0
18,MANDULOG,8.2442,124.3057,2011,10,0
19,MARIA CRISTINA,8.1989,124.1936,2011,10,0
20,PALAO,8.2286,124.2532,2011,10,0
21,PANOROGANAN,8.1743,124.425,2011,10,0
22,POBLACION,8.2292,124.2344,2011,10,0
23,PUGA-AN,8.2122,124.2742,2011,10,0
24,ROGONGON,8.2395,124.4115,2011,10,0
25,SAN MIGUEL,8.2387,124.2479,2011,10,0
26,SAN ROQUE,8.2578,124.2619,2011,10,0
27,SANTA ELENA,8.1948,124.2273,2011,10,0
28,SANTA FILOMENA,8.2681,124.2593,2011,10,0
29,SANTIAGO,8.2511,124.2444,2011,10,0
30,SANTO ROSARIO,8.2436,124.2525,2011,10,0
31,SARAY-TIBANGA,8.2349,124.2371,2011,10,0
32,SUAREZ,8.1914,124.2173,2011,10,0
33,TAMBACAN,8.2236,124.2347,2011,10,0
34,TIBANGA,8.2402,124.2415,2011,10,0
35,TIPANOY,8.1902,124.2634,2011,10,1
36,TOMINOBO PROPER,8.2104,124.2221,2011,10,1
37,TOMINOBO UPPER,8.1688,124.2251,2011,10,0
38,TUBOD,8.2117,124.2394,2011,10,1
39,UBALDO LAYA,8.224,124.2449,2011,10,0
40,UPPER HINAPLANON,8.2559,124.2689,2011,10,0
41,VILLA VERDE,8.2331,124.2437,2011,10,0
0,ABUNO,8.1846,124.2571,2011,11,0
1,ACMAC,8.274,124.2649,2011,11,0
2,BAGONG SILANG,8.2418,124.252,2011,11,0
3,BONBONON,8.2667,124.2902,2011,11,0
4,BUNAWAN,8.3023,124.3028,2011,11,0
5,BURU-UN,8.1872,124.1688,2011,11,0
6,DALIPUGA,8.3074,124.255,2011,11,1
7,DEL CARMEN,8.2322,124.2578,2011,11,0
8,DIGKILAAN,8.2492,124.3178,2011,11,0
9,DITUCALAN,8.1751,124.1927,2011,11,0
10,HINAPLANON,8.2467,124.2592,2011,11,0
11,HINDANG,8.3177,124.3457,2011,11,0
12,KABACSANAN,8.2815,124.3088,2011,11,0
13,KIWALAN,8.2801,124.2668,2011,11,0
14,LANIPAO,8.2266,124.3412,2011,11,0
15,LUINAB,8.2472,124.2681,2011,11,0
16,MAHAYAHAY,8.2219,124.2406,2011,11,0
17,MAINIT,8.2976,124.3876,2011,11,0
18,MANDULOG,8.2442,124.3057,2011,11,0
19,MARIA CRISTINA,8.1989,124.1936,2011,11,0
20,PALAO,8.2286,124.2532,2011,11,0
21,PANOROGANAN,8.1743,124.425,2011,11,0
22,POBLACION,8.2292,124.2344,2011,11,1
23,PUGA-AN,8.2122,124.2742,2011,11,0
24,ROGONGON,8.2395,124.4115,2011,11,0
25,SAN MIGUEL,8.2387,124.2479,2011,11,0
26,SAN ROQUE,8.2578,124.2619,2011,11,0
27,SANTA ELENA,8.1948,124.2273,2011,11,0
28,SANTA FILOMENA,8.2681,124.2593,2011,11,1
29,SANTIAGO,8.2511,124.2444,2011,11,0
30,SANTO ROSARIO,8.2436,124.2525,2011,11,0
31,SARAY-TIBANGA,8.2349,124.2371,2011,11,0
32,SUAREZ,8.1914,124.2173,2011,11,0
33,TAMBACAN,8.2236,124.2347,2011,11,0
34,TIBANGA,8.2402,124.2415,2011,11,1
35,TIPANOY,8.1902,124.2634,2011,11,0
36,TOMINOBO PROPER,8.2104,124.2221,2011,11,0
37,TOMINOBO UPPER,8.1688,124.2251,2011,11,0
38,TUBOD,8.2117,124.2394,2011,11,1
39,UBALDO LAYA,8.224,124.2449,2011,11,0
40,UPPER HINAPLANON,8.2559,124.2689,2011,11,0
41,VILLA VERDE,8.2331,124.2437,2011,11,0
0,ABUNO,8.1846,124.2571,2011,12,0
1,ACMAC,8.274,124.2649,2011,12,0
2,BAGONG SILANG,8.2418,124.252,2011,12,0
3,BONBONON,8.2667,124.2902,2011,12,0
4,BUNAWAN,8.3023,124.3028,2011,12,0
5,BURU-UN,8.1872,124.1688,2011,12,0
6,DALIPUGA,8.3074,124.255,2011,12,0
7,DEL CARMEN,8.2322,124.2578,2011,12,1
8,DIGKILAAN,8.2492,124.3178,2011,12,0
9,DITUCALAN,8.1751,124.1927,2011,12,0
10,HINAPLANON,8.2467,124.2592,2011,12,1
11,HINDANG,8.3177,124.3457,2011,12,0
12,KABACSANAN,8.2815,124.3088,2011,12,0
13,KIWALAN,8.2801,124.2668,2011,12,0
14,LANIPAO,8.2266,124.3412,2011,12,0
15,LUINAB,8.2472,124.2681,2011,12,0
16,MAHAYAHAY,8.2219,124.2406,2011,12,0
17,MAINIT,8.2976,124.3876,2011,12,0
18,MANDULOG,8.2442,124.3057,2011,12,0
19,MARIA CRISTINA,8.1989,124.1936,2011,12,0
20,PALAO,8.2286,124.2532,2011,12,4
21,PANOROGANAN,8.1743,124.425,2011,12,0
22,POBLACION,8.2292,124.2344,2011,12,0
23,PUGA-AN,8.2122,124.2742,2011,12,0
24,ROGONGON,8.2395,124.4115,2011,12,0
25,SAN MIGUEL,8.2387,124.2479,2011,12,0
26,SAN ROQUE,8.2578,124.2619,2011,12,0
27,SANTA ELENA,8.1948,124.2273,2011,12,0
28,SANTA FILOMENA,8.2681,124.2593,2011,12,0
29,SANTIAGO,8.2511,124.2444,2011,12,2
30,SANTO ROSARIO,8.2436,124.2525,2011,12,1
31,SARAY-TIBANGA,8.2349,124.2371,2011,12,0
32,SUAREZ,8.1914,124.2173,2011,12,1
33,TAMBACAN,8.2236,124.2347,2011,12,0
34,TIBANGA,8.2402,124.2415,2011,12,0
35,TIPANOY,8.1902,124.2634,2011,12,1
36,TOMINOBO PROPER,8.2104,124.2221,2011,12,0
37,TOMINOBO UPPER,8.1688,124.2251,2011,12,0
38,TUBOD,8.2117,124.2394,2011,12,1
39,UBALDO LAYA,8.224,124.2449,2011,12,1
40,UPPER HINAPLANON,8.2559,124.2689,2011,12,0
41,VILLA VERDE,8.2331,124.2437,2011,12,0
0,ABUNO,8.1846,124.2571,2012,1,0
1,ACMAC,8.274,124.2649,2012,1,0
2,BAGONG SILANG,8.2418,124.252,2012,1,0
3,BONBONON,8.2667,124.2902,2012,1,0
4,BUNAWAN,8.3023,124.3028,2012,1,0
5,BURU-UN,8.1872,124.1688,2012,1,0
6,DALIPUGA,8.3074,124.255,2012,1,0
7,DEL CARMEN,8.2322,124.2578,2012,1,0
8,DIGKILAAN,8.2492,124.3178,2012,1,0
