Barangay,Month,Year,Dengue Cases
ABUNO, 12,2018,1
ABUNO, 12,2018,0
ABUNO, 1,2019,1
ABUNO, 1,2019,1
ABUNO, 1,2019,1
ABUNO, 3,2019,1
ABUNO, 3,2019,1
ABUNO, 6,2019,1
ABUNO, 7,2019,1
ABUNO, 7,2019,1
ABUNO, 7,2019,1
ABUNO, 7,2019,1
ABUNO, 8,2019,1
ABUNO, 8,2019,1
ABUNO, 8,2019,1
ABUNO, 8,2019,1
ABUNO, 8,2019,1
ABUNO, 8,2019,1
ABUNO, 8,2019,1
ABUNO, 8,2019,1
ABUNO, 8,2019,1
ABUNO, 8,2019,1
ABUNO, 8,2019,1
ABUNO, 9,2019,1
ABUNO, 9,2019,1
ABUNO, 9,2019,1
ABUNO, 10,2019,1
ABUNO, 10,2019,1
ABUNO, 10,2019,1
ABUNO, 11,2019,1
ABUNO, 11,2019,1
ABUNO, 11,2019,1
ABUNO, 11,2019,1
ABUNO, 11,2019,1
ACMA, 1,2019,1
ACMAC, 12,2018,1
ACMAC, 1,2019,1
ACMAC, 1,2019,1
ACMAC, 1,2019,0
ACMAC, 1,2019,0
ACMAC, 1,2019,1
ACMAC, 1,2019,1
ACMAC, 1,2019,1
ACMAC, 2,2019,1
ACMAC, 2,2019,1
ACMAC, 2,2019,1
ACMAC, 5,2019,1
ACMAC, 5,2019,1
ACMAC, 6,2019,1
ACMAC, 6,2019,1
ACMAC, 6,2019,0
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 7,2019,1
ACMAC, 8,2019,1
ACMAC, 8,2019,1
ACMAC, 8,2019,1
ACMAC, 8,2019,1
ACMAC, 8,2019,1
ACMAC, 8,2019,1
ACMAC, 8,2019,1
ACMAC, 8,2019,1
ACMAC, 9,2019,1
ACMAC, 9,2019,1
ACMAC, 9,2019,1
ACMAC, 9,2019,1
ACMAC, 10,2019,1
ACMAC, 10,2019,1
ACMAC, 10,2019,1
ACMAC, 11,2019,1
ACMAC, 12,2019,1
ACMAC, 12,2019,1
ACMAC, 12,2019,1
ACMAC, 12,2019,1
ACMAC, 12,2019,1
ACMAC, 12,2019,1
ACMAC, 12,2019,1
BAGONG SILANG, 12,2018,1
BAGONG SILANG, 1,2019,1
BAGONG SILANG, 1,2019,1
BAGONG SILANG, 1,2019,1
BAGONG SILANG, 1,2019,1
BAGONG SILANG, 1,2019,1
BAGONG SILANG, 1,2019,0
BAGONG SILANG, 1,2019,1
BAGONG SILANG, 1,2019,1
BAGONG SILANG, 2,2019,1
BAGONG SILANG, 2,2019,1
BAGONG SILANG, 2,2019,1
BAGONG SILANG, 2,2019,1
BAGONG SILANG, 3,2019,1
BAGONG SILANG, 3,2019,1
BAGONG SILANG, 3,2019,1
BAGONG SILANG, 3,2019,1
BAGONG SILANG, 7,2019,1
BAGONG SILANG, 7,2019,1
BAGONG SILANG, 7,2019,1
BAGONG SILANG, 7,2019,1
BAGONG SILANG, 7,2019,1
BAGONG SILANG, 7,2019,1
BAGONG SILANG, 8,2019,1
BAGONG SILANG, 8,2019,1
BAGONG SILANG, 8,2019,1
BAGONG SILANG, 8,2019,1
BAGONG SILANG, 8,2019,1
BAGONG SILANG, 8,2019,1
BAGONG SILANG, 8,2019,1
BAGONG SILANG, 8,2019,1
BAGONG SILANG, 8,2019,1
BAGONG SILANG, 8,2019,1
BAGONG SILANG, 8,2019,1
BAGONG SILANG, 9,2019,1
BAGONG SILANG, 9,2019,1
BAGONG SILANG, 9,2019,1
BAGONG SILANG, 9,2019,1
BAGONG SILANG, 9,2019,1
BAGONG SILANG, 9,2019,1
BAGONG SILANG, 9,2019,1
BAGONG SILANG, 10,2019,1
BAGONG SILANG, 10,2019,1
BAGONG SILANG, 10,2019,1
BAGONG SILANG, 10,2019,1
BAGONG SILANG, 10,2019,1
BAGONG SILANG, 11,2019,1
BAGONG SILANG, 11,2019,1
BAGONG SILANG, 12,2019,1
BONBONON, 1,2019,1
BONBONON, 1,2019,1
BONBONON, 1,2019,1
BONBONON, 6,2019,1
BONBONON, 7,2019,1
BONBONON, 10,2019,1
BUNAWAN, 8,2019,1
BUNAWAN, 8,2019,1
BUNAWAN, 8,2019,1
BUNAWAN, 8,2019,1
BUNAWAN, 8,2019,1
BUNAWAN, 9,2019,1
BUNAWAN, 9,2019,1
BUNAWAN, 9,2019,1
BUNAWAN, 10,2019,1
BUNAWAN, 10,2019,0
BURU-UN, 12,2018,1
BURU-UN, 12,2018,1
BURU-UN, 1,2019,1
BURU-UN, 1,2019,1
BURU-UN, 1,2019,1
BURU-UN, 1,2019,1
BURU-UN, 2,2019,1
BURU-UN, 2,2019,1
BURU-UN, 3,2019,1
BURU-UN, 3,2019,1
BURU-UN, 3,2019,1
BURU-UN, 4,2019,1
BURU-UN, 4,2019,1
BURU-UN, 4,2019,1
BURU-UN, 4,2019,1
BURU-UN, 4,2019,1
BURU-UN, 5,2019,1
BURU-UN, 6,2019,1
BURU-UN, 6,2019,0
BURU-UN, 6,2019,0
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,0
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,1
BURU-UN, 7,2019,0
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,0
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 8,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 9,2019,1
BURU-UN, 10,2019,1
BURU-UN, 10,2019,1
BURU-UN, 10,2019,1
BURU-UN, 10,2019,1
BURU-UN, 10,2019,1
BURU-UN, 10,2019,1
BURU-UN, 10,2019,1
BURU-UN, 10,2019,1
BURU-UN, 10,2019,1
BURU-UN, 10,2019,1
BURU-UN, 11,2019,1
BURU-UN, 11,2019,1
BURU-UN, 11,2019,1
BURU-UN, 11,2019,1
BURU-UN, 12,2019,1
BURU-UN, 12,2019,1
DALIPUGA, 12,2018,1
DALIPUGA, 12,2018,1
DALIPUGA, 1,2019,1
DALIPUGA, 1,2019,1
DALIPUGA, 1,2019,1
DALIPUGA, 1,2019,1
DALIPUGA, 1,2019,1
DALIPUGA, 1,2019,0
DALIPUGA, 1,2019,1
DALIPUGA, 1,2019,1
DALIPUGA, 1,2019,0
DALIPUGA, 1,2019,1
DALIPUGA, 1,2019,1
DALIPUGA, 1,2019,1
DALIPUGA, 2,2019,1
DALIPUGA, 2,2019,1
DALIPUGA, 2,2019,1
DALIPUGA, 2,2019,1
DALIPUGA, 2,2019,1
DALIPUGA, 2,2019,1
DALIPUGA, 2,2019,1
DALIPUGA, 2,2019,1
DALIPUGA, 2,2019,1
DALIPUGA, 3,2019,1
DALIPUGA, 3,2019,1
DALIPUGA, 3,2019,1
DALIPUGA, 3,2019,1
DALIPUGA, 3,2019,1
DALIPUGA, 3,2019,1
DALIPUGA, 3,2019,1
DALIPUGA, 4,2019,1
DALIPUGA, 6,2019,1
DALIPUGA, 6,2019,1
DALIPUGA, 6,2019,1
DALIPUGA, 6,2019,1
DALIPUGA, 6,2019,1
DALIPUGA, 6,2019,1
DALIPUGA, 6,2019,1
DALIPUGA, 6,2019,1
DALIPUGA, 7,2019,1
DALIPUGA, 7,2019,1
DALIPUGA, 7,2019,1
DALIPUGA, 7,2019,1
DALIPUGA, 7,2019,1
DALIPUGA, 7,2019,0
DALIPUGA, 7,2019,1
