Barangay,Month,Year,Dengue Cases
DALIPUGA,7,2019,1
DALIPUGA,7,2019,1
DALIPUGA,7,2019,1
DALIPUGA,7,2019,1
DALIPUGA,7,2019,1
DALIPUGA,7,2019,0
DALIPUGA,7,2019,1
DALIPUGA,7,2019,1
DALIPUGA,7,2019,1
DALIPUGA,8,2019,1
DALIPUGA,8,2019,0
DALIPUGA,8,2019,1
DALIPUGA,8,2019,1
DALIPUGA,8,2019,1
DALIPUGA,8,2019,1
DALIPUGA,8,2019,1
DALIPUGA,8,2019,1
DALIPUGA,8,2019,1
DALIPUGA,8,2019,1
DALIPUGA,8,2019,1
DALIPUGA,8,2019,1
DALIPUGA,9,2019,1
DALIPUGA,9,2019,1
DALIPUGA,9,2019,1
DALIPUGA,9,2019,1
DALIPUGA,9,2019,1
DALIPUGA,9,2019,1
DALIPUGA,9,2019,1
DALIPUGA,9,2019,1
DALIPUGA,9,2019,1
DALIPUGA,10,2019,1
DALIPUGA,10,2019,1
DALIPUGA,10,2019,1
DALIPUGA,11,2019,1
DALIPUGA,12,2019,1
DALIPUGA,1,2020,1
DALIPUGA,2,2020,1
DALIPUGA,2,2020,1
DALIPUGA,2,2020,1
DALIPUGA,2,2020,1
DALIPUGA,2,2020,1
DALIPUGA,3,2020,1
DALIPUGA,3,2020,1
DALIPUGA,3,2020,1
DALIPUGA,5,2020,1
DALIPUGA,7,2020,1
DALIPUGA,8,2020,1
DALIPUGA,8,2020,1
DALIPUGA,10,2020,1
DALIPUGA,11,2020,1
DALIPUGA,12,2020,1
DALIPUGA,12,2020,1
DALIPUGA,12,2020,0
DALIPUGA,12,2020,1
DEL CARMEN,9,2017,1
DEL CARMEN,11,2018,1
DEL CARMEN,12,2018,1
DEL CARMEN,12,2018,1
DEL CARMEN,1,2019,1
DEL CARMEN,1,2019,1
DEL CARMEN,1,2019,1
DEL CARMEN,1,2019,1
DEL CARMEN,1,2019,1
DEL CARMEN,1,2019,1
DEL CARMEN,2,2019,1
DEL CARMEN,3,2019,1
DEL CARMEN,3,2019,1
DEL CARMEN,3,2019,1
DEL CARMEN,4,2019,1
DEL CARMEN,4,2019,1
DEL CARMEN,4,2019,1
DEL CARMEN,4,2019,1
DEL CARMEN,4,2019,1
DEL CARMEN,5,2019,1
DEL CARMEN,7,2019,0
DEL CARMEN,7,2019,1
DEL CARMEN,7,2019,1
DEL CARMEN,7,2019,1
DEL CARMEN,8,2019,1
DEL CARMEN,8,2019,1
DEL CARMEN,8,2019,1
DEL CARMEN,8,2019,1
DEL CARMEN,8,2019,1
DEL CARMEN,8,2019,1
DEL CARMEN,8,2019,1
DEL CARMEN,10,2019,1
DEL CARMEN,10,2019,1
DEL CARMEN,10,2019,1
DEL CARMEN,10,2019,1
DEL CARMEN,10,2019,1
DEL CARMEN,10,2019,1
DEL CARMEN,10,2019,0
DEL CARMEN,11,2019,1
DEL CARMEN,11,2019,1
DEL CARMEN,11,2019,1
DEL CARMEN,11,2019,1
DEL CARMEN,12,2019,1
DEL CARMEN,1,2020,1
DEL CARMEN,2,2020,1
DEL CARMEN,2,2020,1
DEL CARMEN,3,2020,1
DEL CARMEN,3,2020,1
DIGKILAAN,12,2018,1
DIGKILAAN,1,2019,1
DIGKILAAN,8,2019,1
DIGKILAAN,10,2019,1
DIGKILAAN,11,2019,1
DIGKILAAN,12,2019,1
DIGKILAAN,12,2019,1
DIGKILAAN,12,2019,1
DIGKILAAN,4,2020,1
DIGKILAAN,7,2020,1
DIGKILAAN,7,2020,1
DIGKILAAN,7,2020,1
DIGKILAAN,8,2020,1
DIGKILAAN,8,2020,1
DIGKILAAN,8,2020,1
DIGKILAAN,8,2020,0
DIGKILAAN,8,2020,1
DIGKILAAN,8,2020,1
DIGKILAAN,8,2020,1
DIGKILAAN,9,2020,1
DIGKILAAN,9,2020,1
DIGKILAAN,10,2020,1
DIGKILAAN,11,2020,1
DIGKILAAN,11,2020,1
DITUCALAN,9,2018,1
DITUCALAN,3,2019,1
DITUCALAN,8,2019,1
DITUCALAN,9,2019,1
DITUCALAN,10,2019,1
DITUCALAN,11,2019,1
DITUCALAN,1,2020,1
DITUCALAN,1,2020,1
DITUCALAN,1,2020,1
DITUCALAN,2,2020,1
DITUCALAN,3,2020,1
DITUCALAN,12,2020,1
DULAG,8,2019,1
DULAG,1,2020,1
HINAPLANON,1,2018,1
HINAPLANON,2,2018,1
HINAPLANON,3,2018,1
HINAPLANON,4,2018,1
HINAPLANON,7,2018,1
HINAPLANON,9,2018,1
HINAPLANON,10,2018,1
HINAPLANON,10,2018,1
HINAPLANON,10,2018,1
HINAPLANON,11,2018,1
HINAPLANON,11,2018,1
HINAPLANON,1,2019,1
HINAPLANON,1,2019,1
HINAPLANON,1,2019,1
HINAPLANON,1,2019,1
HINAPLANON,1,2019,1
HINAPLANON,1,2019,1
HINAPLANON,1,2019,1
HINAPLANON,2,2019,1
HINAPLANON,2,2019,1
HINAPLANON,3,2019,1
HINAPLANON,4,2019,1
HINAPLANON,4,2019,1
HINAPLANON,5,2019,1
HINAPLANON,6,2019,1
HINAPLANON,7,2019,1
HINAPLANON,7,2019,1
HINAPLANON,7,2019,1
HINAPLANON,7,2019,1
HINAPLANON,7,2019,1
HINAPLANON,7,2019,1
HINAPLANON,8,2019,1
HINAPLANON,8,2019,1
HINAPLANON,8,2019,1
HINAPLANON,8,2019,1
HINAPLANON,8,2019,1
HINAPLANON,8,2019,1
HINAPLANON,8,2019,1
HINAPLANON,8,2019,1
HINAPLANON,8,2019,1
HINAPLANON,8,2019,1
HINAPLANON,8,2019,1
HINAPLANON,9,2019,1
