Barangay,Month,Year,Dengue Cases
ABUNO,1,2022,1
ABUNO,2,2022,1
ABUNO,2,2022,1
ABUNO,5,2022,1
ABUNO,7,2022,1
ABUNO,8,2022,1
ABUNO,10,2022,1
ABUNO,11,2022,1
ACMAC,6,2022,1
ACMAC,7,2022,1
ACMAC,9,2022,1
ACMAC,10,2022,1
BAGONG SILANG,1,2022,1
BAGONG SILANG,1,2022,1
BAGONG SILANG,3,2022,1
BAGONG SILANG,4,2022,1
BAGONG SILANG,6,2022,1
BAGONG SILANG,6,2022,1
BAGONG SILANG,6,2022,1
BAGONG SILANG,6,2022,1
BAGONG SILANG,6,2022,1
BAGONG SILANG,7,2022,1
BAGONG SILANG,7,2022,1
BAGONG SILANG,7,2022,1
BAGONG SILANG,7,2022,1
BAGONG SILANG,7,2022,1
BAGONG SILANG,8,2022,1
BAGONG SILANG,8,2022,1
BAGONG SILANG,8,2022,1
BAGONG SILANG,8,2022,0
BAGONG SILANG,9,2022,1
BAGONG SILANG,9,2022,1
BAGONG SILANG,9,2022,1
BAGONG SILANG,9,2022,1
BAGONG SILANG,9,2022,1
BAGONG SILANG,10,2022,1
BAGONG SILANG,11,2022,1
BAGONG SILANG,11,2022,1
BAGONG SILANG,11,2022,1
BAGONG SILANG,12,2022,1
BONBONON,6,2022,1
BONBONON,7,2022,1
BUNAWAN,9,2022,1
BURU-UN,3,2022,0
BURU-UN,4,2022,1
BURU-UN,4,2022,1
BURU-UN,4,2022,1
BURU-UN,4,2022,1
BURU-UN,5,2022,1
BURU-UN,6,2022,1
BURU-UN,6,2022,1
BURU-UN,6,2022,1
BURU-UN,6,2022,1
BURU-UN,7,2022,1
BURU-UN,7,2022,1
BURU-UN,7,2022,1
BURU-UN,7,2022,1
BURU-UN,7,2022,1
BURU-UN,7,2022,1
BURU-UN,7,2022,1
BURU-UN,7,2022,1
BURU-UN,7,2022,1
BURU-UN,7,2022,1
BURU-UN,7,2022,1
BURU-UN,8,2022,1
BURU-UN,8,2022,1
BURU-UN,8,2022,1
BURU-UN,8,2022,1
BURU-UN,8,2022,1
BURU-UN,9,2022,1
BURU-UN,9,2022,1
BURU-UN,9,2022,1
BURU-UN,9,2022,1
BURU-UN,10,2022,1
BURU-UN,10,2022,1
BURU-UN,10,2022,1
BURU-UN,11,2022,1
BURU-UN,12,2022,1
DALIPUGA,12,2021,1
DALIPUGA,1,2022,1
DALIPUGA,1,2022,1
DALIPUGA,1,2022,1
DALIPUGA,1,2022,1
DALIPUGA,2,2022,1
DALIPUGA,2,2022,1
DALIPUGA,3,2022,1
DALIPUGA,3,2022,1
DALIPUGA,3,2022,1
DALIPUGA,3,2022,1
DALIPUGA,3,2022,1
DALIPUGA,3,2022,1
DALIPUGA,4,2022,1
DALIPUGA,5,2022,1
DALIPUGA,6,2022,1
DALIPUGA,6,2022,1
DALIPUGA,6,2022,1
DALIPUGA,7,2022,1
DALIPUGA,8,2022,1
DALIPUGA,9,2022,1
DALIPUGA,9,2022,1
DALIPUGA,9,2022,1
DALIPUGA,9,2022,1
DALIPUGA,10,2022,1
DALIPUGA,10,2022,1
DALIPUGA,11,2022,1
DALIPUGA,11,2022,1
DALIPUGA,11,2022,0
DALIPUGA,11,2022,1
DEL CARMEN,1,2022,1
DEL CARMEN,1,2022,1
DEL CARMEN,1,2022,1
DEL CARMEN,1,2022,1
DEL CARMEN,1,2022,1
DEL CARMEN,2,2022,1
DEL CARMEN,2,2022,1
DEL CARMEN,2,2022,1
DEL CARMEN,2,2022,1
DEL CARMEN,3,2022,1
DEL CARMEN,3,2022,1
DEL CARMEN,3,2022,1
DEL CARMEN,3,2022,0
DEL CARMEN,3,2022,1
DEL CARMEN,3,2022,1
DEL CARMEN,3,2022,1
DEL CARMEN,3,2022,1
DEL CARMEN,3,2022,1
DEL CARMEN,4,2022,0
DEL CARMEN,4,2022,1
DEL CARMEN,4,2022,1
DEL CARMEN,4,2022,1
DEL CARMEN,5,2022,1
DEL CARMEN,5,2022,1
DEL CARMEN,6,2022,1
DEL CARMEN,6,2022,1
DEL CARMEN,6,2022,1
DEL CARMEN,6,2022,1
DEL CARMEN,6,2022,1
DEL CARMEN,6,2022,1
DEL CARMEN,6,2022,1
DEL CARMEN,6,2022,1
DEL CARMEN,7,2022,1
DEL CARMEN,7,2022,1
DEL CARMEN,7,2022,1
DEL CARMEN,7,2022,1
DEL CARMEN,7,2022,1
DEL CARMEN,7,2022,1
DEL CARMEN,7,2022,1
DEL CARMEN,7,2022,1
DEL CARMEN,7,2022,1
DEL CARMEN,7,2022,1
DEL CARMEN,8,2022,1
DEL CARMEN,8,2022,1
DEL CARMEN,8,2022,0
DEL CARMEN,8,2022,1
DEL CARMEN,9,2022,1
DEL CARMEN,9,2022,1
DEL CARMEN,9,2022,1
DEL CARMEN,9,2022,1
DEL CARMEN,9,2022,1
DEL CARMEN,9,2022,1
DEL CARMEN,9,2022,1
DEL CARMEN,10,2022,1
DEL CARMEN,10,2022,1
DEL CARMEN,10,2022,1
DEL CARMEN,10,2022,1
DEL CARMEN,11,2022,1
DEL CARMEN,11,2022,1
DEL CARMEN,12,2022,1
DIGKILAAN,11,2022,1
DIGKILAAN,11,2022,1
HINAPLANON,12,2021,1
HINAPLANON,12,2021,1
HINAPLANON,1,2022,1
HINAPLANON,1,2022,1
HINAPLANON,1,2022,1
HINAPLANON,2,2022,1
HINAPLANON,2,2022,1
HINAPLANON,2,2022,1
HINAPLANON,3,2022,1
HINAPLANON,3,2022,1
HINAPLANON,4,2022,1
HINAPLANON,4,2022,1
HINAPLANON,4,2022,1
HINAPLANON,4,2022,1
HINAPLANON,5,2022,1
HINAPLANON,5,2022,1
HINAPLANON,5,2022,1
HINAPLANON,5,2022,1
HINAPLANON,6,2022,1
HINAPLANON,6,2022,1
HINAPLANON,6,2022,1
HINAPLANON,6,2022,1
HINAPLANON,6,2022,1
HINAPLANON,6,2022,1
HINAPLANON,6,2022,1
HINAPLANON,7,2022,1
HINAPLANON,7,2022,1
HINAPLANON,7,2022,1
HINAPLANON,7,2022,1
HINAPLANON,7,2022,1
HINAPLANON,7,2022,1
HINAPLANON,7,2022,1
HINAPLANON,7,2022,1
HINAPLANON,7,2022,1
HINAPLANON,8,2022,1
HINAPLANON,8,2022,1
HINAPLANON,8,2022,1
HINAPLANON,9,2022,1
HINAPLANON,9,2022,1
HINAPLANON,9,2022,1
HINAPLANON,9,2022,1
HINAPLANON,9,2022,1
HINAPLANON,9,2022,1
HINAPLANON,10,2022,1
HINAPLANON,10,2022,1
HINAPLANON,10,2022,1
HINAPLANON,10,2022,1
HINAPLANON,10,2022,1
HINAPLANON,10,2022,1
HINAPLANON,10,2022,1
HINAPLANON,10,2022,1
HINAPLANON,11,2022,1
HINAPLANON,11,2022,1
HINAPLANON,11,2022,1
HINAPLANON,12,2022,1
HINAPLANON,12,2022,1
HINAPLANON,12,2022,1
HINAPLANON,1,2023,1
KIWALAN,4,2022,1
KIWALAN,5,2022,1
KIWALAN,5,2022,1
KIWALAN,6,2022,1
KIWALAN,6,2022,1
KIWALAN,6,2022,1
KIWALAN,6,2022,1
KIWALAN,7,2022,1
KIWALAN,11,2022,1
KIWALAN,11,2022,1
KIWALAN,12,2022,1
KIWALAN,12,2022,1
LUINAB,1,2022,1
LUINAB,1,2022,1
LUINAB,2,2022,0
LUINAB,2,2022,1
LUINAB,3,2022,1
LUINAB,4,2022,1
LUINAB,5,2022,1
LUINAB,5,2022,0
LUINAB,5,2022,1
LUINAB,5,2022,1
LUINAB,6,2022,1
LUINAB,6,2022,1
LUINAB,6,2022,1
LUINAB,6,2022,1
LUINAB,6,2022,1
LUINAB,6,2022,1
LUINAB,6,2022,1
LUINAB,6,2022,1
LUINAB,6,2022,0
LUINAB,6,2022,1
LUINAB,6,2022,1
LUINAB,6,2022,1
LUINAB,7,2022,1
LUINAB,7,2022,1
LUINAB,7,2022,1
LUINAB,7,2022,1
LUINAB,7,2022,1
LUINAB,7,2022,1
LUINAB,7,2022,1
LUINAB,8,2022,1
LUINAB,8,2022,1
LUINAB,8,2022,1
LUINAB,8,2022,1
LUINAB,9,2022,1
LUINAB,9,2022,1
LUINAB,9,2022,1
LUINAB,10,2022,1
LUINAB,10,2022,1
LUINAB,12,2022,0
LUINAB,12,2022,1
